month,country,month_total,running_total
2015-10,United States of America,71,863
2015-11,Australia,3,42
2015-11,Canada,12,74
2015-11,China,2,39
2015-11,France,7,58
2015-11,Germany,9,106
2015-11,OTHER,29,389
2015-11,UNKNOWN,44,436
2015-11,United Kingdom of Great Britain and Northern Ireland,21,219
2015-11,United States of America,71,934
2015-12,Australia,1,43
2015-12,Canada,5,79
2015-12,China,3,42
2015-12,France,7,65
2015-12,Germany,4,110
2015-12,OTHER,41,430
2015-12,UNKNOWN,27,463
2015-12,United Kingdom of Great Britain and Northern Ireland,15,234
2015-12,United States of America,60,994
2016-01,Australia,2,45
2016-01,Canada,6,85
2016-01,China,1,43
2016-01,France,4,69
2016-01,Germany,12,122
2016-01,OTHER,27,457
2016-01,UNKNOWN,42,505
2016-01,United Kingdom of Great Britain and Northern Ireland,17,251
2016-01,United States of America,60,1054
2016-02,Australia,9,54
2016-02,Canada,9,94
2016-02,China,4,47
2016-02,France,6,75
2016-02,Germany,11,133
2016-02,OTHER,38,495
2016-02,UNKNOWN,46,551
2016-02,United Kingdom of Great Britain and Northern Ireland,25,276
2016-02,United States of America,89,1143
2016-03,Australia,7,61
2016-03,Canada,17,111
2016-03,China,5,52
2016-03,France,10,85
2016-03,Germany,16,149
2016-03,OTHER,50,545
2016-03,UNKNOWN,70,621
2016-03,United Kingdom of Great Britain and Northern Ireland,30,306
2016-03,United States of America,129,1272
2016-04,Australia,5,66
2016-04,Canada,9,120
2016-04,China,3,55
2016-04,France,14,99
2016-04,Germany,12,161
2016-04,OTHER,38,583
2016-04,UNKNOWN,86,707
2016-04,United Kingdom of Great Britain and Northern Ireland,28,334
2016-04,United States of America,109,1381
2016-05,Australia,5,71
2016-05,Canada,13,133
2016-05,China,7,62
2016-05,France,10,109
2016-05,Germany,9,170
2016-05,OTHER,50,633
2016-05,UNKNOWN,76,783
2016-05,United Kingdom of Great Britain and Northern Ireland,35,369
2016-05,United States of America,150,1531
2016-06,Australia,4,75
2016-06,Canada,9,142
2016-06,China,4,66
2016-06,France,11,120
2016-06,Germany,18,188
2016-06,OTHER,68,701
2016-06,UNKNOWN,35,818
2016-06,United Kingdom of Great Britain and Northern Ireland,39,408
2016-06,United States of America,142,1673
2016-07,Australia,13,88
2016-07,Canada,9,151
2016-07,China,2,68
2016-07,France,14,134
2016-07,Germany,17,205
2016-07,OTHER,67,768
2016-07,UNKNOWN,47,865
2016-07,United Kingdom of Great Britain and Northern Ireland,38,446
2016-07,United States of America,124,1797
2016-08,Australia,10,98
2016-08,Canada,11,162
2016-08,China,7,75
2016-08,France,12,146
2016-08,Germany,12,217
2016-08,OTHER,85,853
2016-08,UNKNOWN,50,915
2016-08,United Kingdom of Great Britain and Northern Ireland,43,489
2016-08,United States of America,173,1970
2016-09,Australia,14,112
2016-09,Canada,16,178
2016-09,China,8,83
2016-09,France,15,161
2016-09,Germany,16,233
2016-09,OTHER,74,927
2016-09,UNKNOWN,62,977
2016-09,United Kingdom of Great Britain and Northern Ireland,45,534
2016-09,United States of America,148,2118
2016-10,Australia,13,125
2016-10,Canada,15,193
2016-10,China,8,91
2016-10,France,8,169
2016-10,Germany,17,250
2016-10,OTHER,73,1000
2016-10,UNKNOWN,68,1045
2016-10,United Kingdom of Great Britain and Northern Ireland,51,585
2016-10,United States of America,149,2267
2016-11,Australia,21,146
2016-11,Canada,18,211
2016-11,China,9,100
2016-11,France,12,181
2016-11,Germany,29,279
2016-11,OTHER,87,1087
2016-11,UNKNOWN,60,1105
2016-11,United Kingdom of Great Britain and Northern Ireland,41,626
2016-11,United States of America,141,2408
2016-12,Australia,20,166
2016-12,Canada,20,231
2016-12,China,12,112
2016-12,France,21,202
2016-12,Germany,16,295
2016-12,OTHER,80,1167
2016-12,UNKNOWN,81,1186
2016-12,United Kingdom of Great Britain and Northern Ireland,57,683
2016-12,United States of America,180,2588
2017-01,Australia,11,177
2017-01,Canada,17,248
2017-01,China,9,121
2017-01,France,20,222
2017-01,Germany,23,318
2017-01,OTHER,111,1278
2017-01,UNKNOWN,79,1265
2017-01,United Kingdom of Great Britain and Northern Ireland,60,743
2017-01,United States of America,203,2791
2017-02,Australia,14,191
2017-02,Canada,17,265
2017-02,China,14,135
2017-02,France,18,240
2017-02,Germany,21,339
2017-02,OTHER,92,1370
2017-02,UNKNOWN,71,1336
2017-02,United Kingdom of Great Britain and Northern Ireland,79,822
2017-02,United States of America,209,3000
2017-03,Australia,15,206
2017-03,Canada,37,302
2017-03,China,27,162
2017-03,France,26,266
2017-03,Germany,36,375
2017-03,OTHER,132,1502
2017-03,UNKNOWN,82,1418
2017-03,United Kingdom of Great Britain and Northern Ireland,89,911
2017-03,United States of America,260,3260
2017-04,Australia,13,219
2017-04,Canada,18,320
2017-04,China,22,184
2017-04,France,20,286
2017-04,Germany,37,412
2017-04,OTHER,107,1609
2017-04,UNKNOWN,96,1514
2017-04,United Kingdom of Great Britain and Northern Ireland,75,986
2017-04,United States of America,277,3537
2017-05,Australia,23,242
2017-05,Canada,26,346
2017-05,China,25,209
2017-05,France,24,310
2017-05,Germany,33,445
2017-05,OTHER,132,1741
2017-05,UNKNOWN,142,1656
2017-05,United Kingdom of Great Britain and Northern Ireland,81,1067
2017-05,United States of America,330,3867
2017-06,Australia,25,267
2017-06,Canada,22,368
2017-06,China,28,237
2017-06,France,36,346
2017-06,Germany,35,480
2017-06,OTHER,184,1925
2017-06,UNKNOWN,121,1777
2017-06,United Kingdom of Great Britain and Northern Ireland,93,1160
2017-06,United States of America,419,4286
2017-07,Australia,21,288
2017-07,Canada,31,399
2017-07,China,33,270
2017-07,France,28,374
2017-07,Germany,44,524
2017-07,OTHER,142,2067
2017-07,UNKNOWN,145,1922
2017-07,United Kingdom of Great Britain and Northern Ireland,110,1270
2017-07,United States of America,348,4634
2017-08,Australia,22,310
2017-08,Canada,25,424
2017-08,China,25,295
2017-08,France,26,400
2017-08,Germany,33,557
2017-08,OTHER,128,2195
2017-08,UNKNOWN,199,2121
2017-08,United Kingdom of Great Britain and Northern Ireland,86,1356
2017-08,United States of America,371,5005
2017-09,Australia,20,330
2017-09,Canada,44,468
2017-09,China,13,308
2017-09,France,39,439
2017-09,Germany,29,586
2017-09,OTHER,207,2402
2017-09,UNKNOWN,145,2266
2017-09,United Kingdom of Great Britain and Northern Ireland,109,1465
2017-09,United States of America,392,5397
2017-10,Australia,23,353
2017-10,Canada,34,502
2017-10,China,30,338
2017-10,France,47,486
2017-10,Germany,45,631
2017-10,OTHER,204,2606
2017-10,UNKNOWN,172,2438
2017-10,United Kingdom of Great Britain and Northern Ireland,103,1568
2017-10,United States of America,435,5832
2017-11,Australia,22,375
2017-11,Canada,31,533
2017-11,China,22,360
2017-11,France,40,526
2017-11,Germany,48,679
2017-11,OTHER,245,2851
2017-11,UNKNOWN,169,2607
2017-11,United Kingdom of Great Britain and Northern Ireland,133,1701
2017-11,United States of America,419,6251
2017-12,Australia,33,408
2017-12,Canada,32,565
2017-12,China,25,385
2017-12,France,46,572
2017-12,Germany,43,722
2017-12,OTHER,219,3070
2017-12,UNKNOWN,137,2744
2017-12,United Kingdom of Great Britain and Northern Ireland,104,1805
2017-12,United States of America,361,6612
2018-01,Australia,32,440
2018-01,Canada,26,591
2018-01,China,44,429
2018-01,France,55,627
2018-01,Germany,57,779
2018-01,OTHER,236,3306
2018-01,UNKNOWN,162,2906
2018-01,United Kingdom of Great Britain and Northern Ireland,134,1939
2018-01,United States of America,446,7058
2018-02,Australia,34,474
2018-02,Canada,34,625
2018-02,China,28,457
2018-02,France,47,674
2018-02,Germany,63,842
2018-02,OTHER,243,3549
2018-02,UNKNOWN,146,3052
2018-02,United Kingdom of Great Britain and Northern Ireland,115,2054
2018-02,United States of America,438,7496
2018-03,Australia,47,521
2018-03,Canada,50,675
2018-03,China,51,508
2018-03,France,51,725
2018-03,Germany,60,902
2018-03,OTHER,282,3831
2018-03,UNKNOWN,227,3279
2018-03,United Kingdom of Great Britain and Northern Ireland,146,2200
2018-03,United States of America,516,8012
2018-04,Australia,37,558
2018-04,Canada,49,724
2018-04,China,53,561
2018-04,France,69,794
2018-04,Germany,62,964
2018-04,OTHER,280,4111
2018-04,UNKNOWN,235,3514
2018-04,United Kingdom of Great Britain and Northern Ireland,134,2334
2018-04,United States of America,550,8562
2018-05,Australia,46,604
2018-05,Canada,63,787
2018-05,China,82,643
2018-05,France,60,854
2018-05,Germany,77,1041
2018-05,OTHER,405,4516
2018-05,UNKNOWN,261,3775
2018-05,United Kingdom of Great Britain and Northern Ireland,165,2499
2018-05,United States of America,668,9230
2018-06,Australia,37,641
2018-06,Canada,64,851
2018-06,China,84,727
2018-06,France,60,914
2018-06,Germany,80,1121
2018-06,OTHER,390,4906
2018-06,UNKNOWN,254,4029
2018-06,United Kingdom of Great Britain and Northern Ireland,177,2676
2018-06,United States of America,666,9896
2018-07,Australia,41,682
2018-07,Canada,55,906
2018-07,China,64,791
2018-07,France,72,986
2018-07,Germany,75,1196
2018-07,OTHER,336,5242
2018-07,UNKNOWN,235,4264
2018-07,United Kingdom of Great Britain and Northern Ireland,162,2838
2018-07,United States of America,626,10522
2018-08,Australia,44,726
2018-08,Canada,61,967
2018-08,China,76,867
2018-08,France,46,1032
2018-08,Germany,81,1277
2018-08,OTHER,381,5623
2018-08,UNKNOWN,346,4610
2018-08,United Kingdom of Great Britain and Northern Ireland,173,3011
2018-08,United States of America,590,11112
2018-09,Australia,45,771
2018-09,Canada,45,1012
2018-09,China,63,930
2018-09,France,79,1111
2018-09,Germany,72,1349
2018-09,OTHER,371,5994
2018-09,UNKNOWN,333,4943
2018-09,United Kingdom of Great Britain and Northern Ireland,162,3173
2018-09,United States of America,632,11744
2018-10,Australia,50,821
2018-10,Canada,65,1077
2018-10,China,73,1003
2018-10,France,86,1197
2018-10,Germany,90,1439
2018-10,OTHER,420,6414
2018-10,UNKNOWN,308,5251
2018-10,United Kingdom of Great Britain and Northern Ireland,205,3378
2018-10,United States of America,725,12469
2018-11,Australia,50,871
2018-11,Canada,49,1126
2018-11,China,74,1077
2018-11,France,76,1273
2018-11,Germany,106,1545
2018-11,OTHER,430,6844
2018-11,UNKNOWN,253,5504
2018-11,United Kingdom of Great Britain and Northern Ireland,205,3583
2018-11,United States of America,662,13131
2018-12,Australia,53,924
2018-12,Canada,64,1190
2018-12,China,78,1155
2018-12,France,77,1350
2018-12,Germany,85,1630
2018-12,OTHER,442,7286
2018-12,UNKNOWN,277,5781
2018-12,United Kingdom of Great Britain and Northern Ireland,204,3787
2018-12,United States of America,655,13786
2019-01,Australia,55,979
2019-01,Canada,64,1254
2019-01,China,103,1258
2019-01,France,94,1444
2019-01,Germany,86,1716
2019-01,OTHER,432,7718
2019-01,UNKNOWN,315,6096
2019-01,United Kingdom of Great Britain and Northern Ireland,214,4001
2019-01,United States of America,810,14596
2019-02,Australia,49,1028
2019-02,Canada,64,1318
2019-02,China,71,1329
2019-02,France,82,1526
2019-02,Germany,119,1835
2019-02,OTHER,454,8172
2019-02,UNKNOWN,279,6375
2019-02,United Kingdom of Great Britain and Northern Ireland,189,4190
2019-02,United States of America,676,15272
2019-03,Australia,76,1104
2019-03,Canada,94,1412
2019-03,China,75,1404
2019-03,France,98,1624
2019-03,Germany,132,1967
2019-03,OTHER,569,8741
2019-03,UNKNOWN,316,6691
2019-03,United Kingdom of Great Britain and Northern Ireland,279,4469
2019-03,United States of America,743,16015
2019-04,Australia,49,1153
2019-04,Canada,73,1485
2019-04,China,115,1519
2019-04,France,89,1713
2019-04,Germany,116,2083
2019-04,OTHER,511,9252
2019-04,UNKNOWN,231,6922
2019-04,United Kingdom of Great Britain and Northern Ireland,251,4720
2019-04,United States of America,828,16843
2019-05,Australia,70,1223
2019-05,Canada,84,1569
2019-05,China,90,1609
2019-05,France,88,1801
2019-05,Germany,130,2213
2019-05,OTHER,600,9852
2019-05,UNKNOWN,250,7172
2019-05,United Kingdom of Great Britain and Northern Ireland,240,4960
2019-05,United States of America,970,17813
2019-06,Australia,51,1274
2019-06,Canada,77,1646
2019-06,China,98,1707
2019-06,France,99,1900
2019-06,Germany,116,2329
2019-06,OTHER,559,10411
2019-06,UNKNOWN,252,7424
2019-06,United Kingdom of Great Britain and Northern Ireland,238,5198
2019-06,United States of America,988,18801
2019-07,Australia,65,1339
2019-07,Canada,107,1753
2019-07,China,122,1829
2019-07,France,125,2025
2019-07,Germany,129,2458
2019-07,OTHER,656,11067
2019-07,UNKNOWN,267,7691
2019-07,United Kingdom of Great Britain and Northern Ireland,268,5466
2019-07,United States of America,1015,19816
2019-08,Australia,70,1409
2019-08,Canada,88,1841
2019-08,China,116,1945
2019-08,France,99,2124
2019-08,Germany,127,2585
2019-08,OTHER,562,11629
2019-08,UNKNOWN,265,7956
2019-08,United Kingdom of Great Britain and Northern Ireland,228,5694
2019-08,United States of America,1030,20846
2019-09,Australia,75,1484
2019-09,Canada,103,1944
2019-09,China,114,2059
2019-09,France,117,2241
2019-09,Germany,148,2733
2019-09,OTHER,659,12288
2019-09,UNKNOWN,285,8241
2019-09,United Kingdom of Great Britain and Northern Ireland,257,5951
2019-09,United States of America,1107,21953
2019-10,Australia,61,1545
2019-10,Canada,102,2046
2019-10,China,125,2184
2019-10,France,142,2383
2019-10,Germany,184,2917
2019-10,OTHER,715,13003
2019-10,UNKNOWN,330,8571
2019-10,United Kingdom of Great Britain and Northern Ireland,319,6270
2019-10,United States of America,1280,23233
2019-11,Australia,87,1632
2019-11,Canada,111,2157
2019-11,China,120,2304
2019-11,France,131,2514
2019-11,Germany,158,3075
2019-11,OTHER,704,13707
2019-11,UNKNOWN,263,8834
2019-11,United Kingdom of Great Britain and Northern Ireland,320,6590
2019-11,United States of America,1063,24296
2019-12,Australia,72,1704
2019-12,Canada,88,2245
2019-12,China,115,2419
2019-12,France,155,2669
2019-12,Germany,159,3234
2019-12,OTHER,680,14387
2019-12,UNKNOWN,243,9077
2019-12,United Kingdom of Great Britain and Northern Ireland,255,6845
2019-12,United States of America,1009,25305
2014-06,Australia,0,8
2014-04,Canada,0,8
2014-12,Canada,0,25
2013-12,China,0,1
2014-03,China,0,3
2014-05,China,0,7
2014-07,China,0,8
2014-08,China,0,8
2015-02,China,0,15
2015-05,China,0,22
2014-03,France,0,4
2014-05,France,0,6
2014-07,France,0,7
2014-08,France,0,7
2015-08,France,0,38
2014-02,Germany,0,5
2014-03,Germany,0,5
