"country","preprints"
"US","25117"
"UNKNOWN","8042"
"GB","6789"
"DE","3181"
"FR","2545"
"CN","2399"
"CA","2177"
"AU","1695"
"CH","1216"
"NL","1189"
"JP","1183"
"IN","1106"
"ES","847"
"SE","739"
"IT","655"
"BR","636"
"IL","559"
"DK","548"
"BE","393"
"NO","370"
"FI","346"
"KR","329"
"SG","309"
"AT","258"
"RU","231"
"PT","213"
"NZ","208"
"TW","191"
"ZA","179"
"IE","164"
"PL","157"
"MX","157"
"AR","151"
"IR","116"
"CL","104"
"LB","100"
"HU","94"
"CZ","91"
"SA","84"
"MY","72"
"TR","71"
"CO","61"
"ET","57"
"GR","54"
"TH","53"
"PH","51"
"EE","48"
"PK","48"
"BD","47"
"KE","46"
"QA","44"
"PA","42"
"EG","41"
"CI","38"
"AZ","34"
"UY","33"
"SD","31"
"NG","30"
"VE","28"
"IS","28"
"GH","25"
"LU","23"
"LK","22"
"EC","20"
"BO","17"
"HR","17"
"SI","16"
"RO","16"
"CR","16"
"NP","15"
"ID","15"
"UG","14"
"BG","14"
"SK","13"
"CY","13"
"CM","13"
"PE","12"
"MO","12"
"UA","11"
"TZ","11"
"TV","10"
"CU","10"
"VN","8"
"MW","8"
"BJ","6"
"GL","6"
"ZW","5"
"BF","5"
"IQ","5"
"KW","5"
"LT","5"
"MA","5"
"AM","4"
"TN","4"
"RE","4"
"GT","4"
"TT","3"
"RS","3"
"BN","3"
"MZ","3"
"BB","3"
"ZM","3"
"GW","3"
"LV","3"
"PS","3"
"GA","3"
"OM","3"
"NI","2"
"MK","2"
"MG","2"
"GY","2"
"DZ","2"
"CD","2"
"GM","2"
"BH","2"
"RW","2"
"MC","2"
"KH","2"
"YE","2"
"AF","2"
"KZ","2"
"AE","1"
"MR","1"
"LA","1"
"KG","1"
"JO","1"
"JM","1"
"SN","1"
"SY","1"
"TG","1"
"TM","1"
"DO","1"
"CW","1"
"BZ","1"
"BW","1"
"BM","1"
"UZ","1"
