id,name,senior_author,any_author
858,Université Laval,64,159
1725,University of Missouri,64,148
1515,Ben-Gurion University of the Negev,64,120
452,University of Freiburg,63,223
3377,University of Alabama at Birmingham,63,162
3728,Duke University School of Medicine,63,122
250,KU Leuven,62,163
506,University of Kentucky,62,134
326,TU Dresden,61,160
625,University College Dublin,61,127
1214,Brandeis University,61,102
2134,Jackson Laboratory,60,192
383,Institut National de la Recherche Agronomique,60,163
558,Western University,60,143
3881,Queensland University of Technology,60,131
4839,Santa Fe Institute,60,124
400,VU University Amsterdam,59,186
988,National Cancer Institute,58,184
283,Science for Life Laboratory,58,170
272,University of Göttingen,58,162
3324,McMaster University,58,140
133,Simon Fraser University,58,138
235,University of Notre Dame,58,129
3719,Mayo Clinic,57,211
358,United States Department of Agriculture,57,189
13,Emory University School of Medicine,57,159
2106,Northeastern University,57,153
473,University of Otago,57,142
1018,University of Miami,57,138
1557,Florida State University,57,124
1429,Delft University of Technology,57,117
382,University of Nebraska–Lincoln,57,112
3926,Max Planck Institute for Evolutionary Biology,56,113
47,University of Kansas,56,105
1238,University of Guelph,56,104
447,Albert Einstein College of Medicine,55,182
2209,University of Cincinnati,55,155
698,Grenoble Alpes University,55,152
388,Washington State University,55,124
3924,Max Planck Institute for Developmental Biology,55,114
48,Boston Children's Hospital,54,248
202,Queen Mary University of London,54,187
1801,University of Bergen,54,158
740,Oregon State University,54,132
3656,University of Michigan Medical School,53,127
233,University of York,52,143
168,University of East Anglia,52,137
1261,University of Colorado Boulder,52,130
2232,Max Planck Institute of Molecular Cell Biology and Genetics,52,128
1322,Seoul National University,52,123
476,Allen Institute for Brain Science,52,116
2731,Claude Bernard University Lyon 1,52,112
1613,University of Colorado Anschutz Medical Campus,52,95
1142,Charité,51,183
611,University of Trento,51,144
2723,University of Strasbourg,51,131
2067,University of Illinois at Chicago,51,124
111,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,50,149
871,Tufts University,50,128
15,University of Lyon System,50,105
327,Bielefeld University,50,89
2139,University of Hong Kong,49,150
1242,University of Turku,49,138
1234,French National Centre for Scientific Research,49,130
1263,University of Bordeaux,49,128
935,University of New Mexico,49,116
1636,"University of California, Santa Cruz",49,114
2669,Chinese University of Hong Kong,49,109
3653,University of Kansas Medical Center,49,84
1352,Osaka University,48,151
5475,Wellcome Centre for Human Neuroimaging,48,120
1246,Université Libre de Bruxelles,48,117
602,Jawaharlal Nehru Centre for Advanced Scientific Research,48,64
2945,Columbia University Medical Center,47,180
880,University of Paris-Sud,47,151
3606,University of Pittsburgh School of Medicine,47,122
1393,Shanghai Jiao Tong University,47,118
1191,Federal University of Rio de Janeiro,47,112
1170,Wellcome Centre for Integrative Neuroimaging,47,109
2149,Southwestern Medical Center,47,83
120,Maastricht University,46,169
2048,University of Münster,46,142
1279,University of Leicester,46,127
1251,Temple University,46,114
1430,University Medical Center Utrecht,45,196
138,Trinity College Dublin,45,125
204,Macquarie University,45,118
2105,"University of California, Irvine",45,115
878,Université Côte d'Azur,45,99
1732,Dana-Farber Cancer Institute,44,252
1305,Oslo University Hospital,44,210
1546,University of Gothenburg,44,169
353,Hungarian Academy of Sciences,44,121
465,Freie Universität Berlin,44,114
2090,George Washington University,44,107
1543,King Abdullah University of Science and Technology,44,103
1277,National Taiwan University,44,92
136,University of Southampton,43,158
549,Zhejiang University,43,157
3670,Vanderbilt University Medical Center,43,146
852,University of Vermont,43,118
557,Nagoya University,43,111
7,Wayne State University,43,92
3588,LogicMill Technology (United States),42,203
1028,Fudan University,42,141
613,University of Würzburg,42,134
1540,University of Lisbon,42,103
356,Kansas State University,42,94
2157,"University at Buffalo, State University of New York",42,83
1550,Canadian Institute for Advanced Research,42,61
1577,Queen's University,41,83
2374,John Radcliffe Hospital,40,138
4766,Donald Danforth Plant Science Center,40,93
2882,Huazhong Agricultural University,40,81
2032,University of Arkansas at Fayetteville,40,57
432,Boston University School of Medicine,39,142
261,City University of New York,39,113
190,University of Porto,39,100
2080,Medical University of South Carolina,39,84
1284,University of Idaho,39,80
2558,Champalimaud Foundation,39,79
1202,University of Bonn,38,163
3360,Umeå University,38,125
352,Chinese Academy of Agricultural Sciences,38,99
711,Goethe University Frankfurt,38,99
1629,University of St Andrews,38,97
2391,Norwegian University of Life Sciences,38,83
1622,University of Waterloo,38,76
3629,Leiden University Medical Center,37,177
685,University of Padua,37,128
2343,Norwegian University of Science and Technology,37,108
1778,University of Bath,37,107
1116,Beijing Normal University,37,83
1210,University of Massachusetts System,37,81
86,Aalto University,37,78
1291,Wellcome Centre for Human Genetics,36,245
3407,University of Tartu,36,174
1161,Beijing Genomics Institute,36,137
2265,University of Southern Denmark,36,106
2043,Spanish National Research Council,36,86
553,Italian Institute of Technology,36,83
119,Academia Sinica,36,82
3373,University of Nevada Reno,36,81
576,West Virginia University,36,67
2747,Salk Institute for Biological Studies,35,108
1551,Heinrich Heine University Düsseldorf,35,99
1318,Friedrich Schiller University Jena,35,99
550,Weatherall Institute of Molecular Medicine,35,82
2393,University of Reading,35,79
97,Max Planck Institute for Human Development,35,72
59,University of South Florida,34,103
2708,National Scientific and Technical Research Council,34,103
816,Swedish University of Agricultural Sciences,34,96
421,Drexel University,34,84
2192,University of Houston,34,82
396,Central South University,34,79
2825,Institut Jacques Monod,34,72
3293,University of Tennessee Health Science Center,34,71
3370,University of Massachusetts Amherst,34,65
1332,Florida International University,34,61
2008,Centre for Cellular and Molecular Biology,34,52
3731,Indiana University School of Medicine - Lafayette,33,131
4255,National Institute of Mental Health,33,126
211,University of Antwerp,33,101
3602,University of London,33,85
1977,Western Caspian University,33,79
2037,Instituto Gulbenkian de Ciência,33,77
1054,Marine Biological Laboratory,33,74
2230,The University of Texas at Dallas,33,72
30,University of Western Australia,32,126
1250,Bioengineering (Switzerland),32,125
565,Moscow State University,32,104
4525,University of Kent,32,83
299,Louisiana State University,32,81
3464,University of Fribourg,32,78
2125,Oncode Institute,32,63
1102,China Agricultural University,32,61
295,Montpellier SupAgro,32,57
4802,University of Electronic Science and Technology of China,32,56
1594,QIMR Berghofer Medical Research Institute,31,159
672,University of Barcelona,31,154
869,Neuroscience Institute,31,106
5107,Institute for Systems Biology,31,103
1738,Hokkaido University,31,87
1092,Université Catholique de Louvain,31,83
3724,Vanderbilt University School of Medicine,31,82
2965,John Innes Centre,31,82
957,Bar-Ilan University,31,81
723,State University of Campinas,31,78
900,Karlsruhe Institute of Technology,31,74
11521,Novartis (United States),31,74
1184,Max Planck Institute for Biophysical Chemistry,31,65
3277,University of New Hampshire,31,62
1285,Worcester Polytechnic Institute,31,61
3569,Innovative Research (United States),31,41
1804,The University of Texas Health Science Center at Houston,30,134
566,Max Delbrück Center for Molecular Medicine,30,112
317,Oswaldo Cruz Foundation,30,96
2226,University of Lübeck,30,88
1367,University of Hawaii at Manoa,30,84
78,University of Rochester Medical Center,30,82
2400,Radboud Institute for Molecular Life Sciences,30,75
3927,Max Planck Institute for Evolutionary Anthropology,30,74
3463,École Normale Supérieure d´Abidjan,30,70
2257,Nanjing Agricultural University,30,58
81,RWTH Aachen University,29,106
888,Dalhousie University,29,95
10924,China National Gene Bank,29,95
2986,University of Buenos Aires,29,88
3140,David Geffen School of Medicine at UCLA,29,88
1348,Liverpool School of Tropical Medicine,29,85
1200,Max Planck Institute of Biochemistry,29,82
369,University of Liège,29,76
5394,Japan Science and Technology Agency,29,75
1133,University of Nebraska Medical Center,29,70
648,University of Wyoming,29,63
244,Swansea University,29,60
2109,Oldenburger Institut für Informatik,29,54
2694,University of Clermont Auvergne,29,52
1300,North West Agriculture and Forestry University,29,45
3564,Indian Institute of Technology Bombay,29,38
1644,Erasmus University Medical Center,28,216
255,Okinawa Institute of Science and Technology,28,91
1793,Huazhong University of Science and Technology,28,84
1547,Smithsonian Tropical Research Institute,28,72
633,University of Erlangen-Nuremberg,28,69
2416,University of Konstanz,28,67
4771,Janelia Farm Research Campus,28,66
1566,Boston College,28,60
1779,"University of California, Santa Barbara",28,59
811,University of South Carolina,28,58
1149,Bernstein Center for Computational Neuroscience Berlin,28,57
1289,South Dakota State University,28,39
595,Commonwealth Scientific and Industrial Research Organisation,27,98
1976,Cleveland Clinic,27,92
1260,University of Bologna,27,79
1065,National Center for Biotechnology,27,75
1902,Thomas Jefferson University,27,73
2423,York University,27,73
582,Yonsei University,27,65
61,University of Oklahoma,27,63
1363,Clemson University,27,54
376,University of Hohenheim,27,51
4877,MRC-University of Glasgow Centre For Virus Research,27,45
2595,Marquette University,27,41
4798,Helmholtz Zentrum München,26,178
3991,Institut de Cancérologie de l'Ouest,26,132
1645,University of Milan,26,119
2165,University of Cape Town,26,115
860,Natural History Museum,26,102
670,Durham University,26,77
1663,National Institute of Environmental Health Sciences,26,77
946,Tulane University,26,75
1043,Institute for Stem Cell Biology and Regenerative Medicine,26,75
313,Genome Institute of Singapore,26,74
2118,State University of New York,26,72
1503,San Diego State University,26,70
712,New York University Langone Medical Center,26,67
911,University of Technology Sydney,26,66
3088,Max Planck Institute of Molecular Physiology,26,64
1597,University of Canterbury,26,61
2348,University of Strathclyde,26,40
17,Indian Institute of Science Bangalore,26,36
1308,Leipzig University,25,112
54,Paris Descartes University,25,109
1872,National Institute for Health Research,25,100
103,University of Aberdeen,25,98
850,Paris Diderot University,25,97
102,Tohoku University,25,92
2206,"University of California, Riverside",25,83
1323,Universidad Centroccidental Lisandro Alvarado,25,76
2075,Saarland University,25,74
3876,University of Haifa,25,72
2399,University of Pretoria,25,70
536,Linköping University,25,64
3545,Florida Atlantic University,25,56
1272,University of Louisville,25,55
3353,The Graduate University for Advanced Studies,25,48
1965,Carnegie Institution for Science,25,47
3539,New Jersey Institute of Technology,25,43
1900,National Human Genome Research Institute,24,113
359,Agricultural Research Service,24,101
1606,University of Iceland,24,92
251,Queen's University Belfast,24,77
3273,University of Turin,24,72
584,University of Manitoba,24,61
560,University of Chile,24,61
407,Tokyo Institute of Technology,24,59
1827,"University at Albany, State University of New York",24,47
2072,Paul Sabatier University,24,45
1310,Robert Koch Institute,24,44
264,Indian Institute of Technology Kharagpur,24,40
4962,MRC Cognition and Brain Sciences Unit,24,38
3427,Lehigh University,24,33
25,Charles University,23,122
660,Karolinska University Hospital,23,109
3918,J. Craig Venter Institute,23,74
2857,University of Saskatchewan,23,71
3359,Korea Advanced Institute of Science and Technology,23,68
1635,Los Alamos National Laboratory,23,67
282,Royal Institute of Technology,23,64
5705,German Center for Infection Research,23,63
934,Autonomous University of Madrid,23,62
1346,Canadian Friends Of Tel-Aviv University,23,58
1583,City College of New York,23,53
3663,Saint Louis University,23,52
2174,Jagiellonian University,23,48
116,Universitätsmedizin Göttingen,22,99
1118,Centers for Disease Control and Prevention,22,85
2060,Kyushu University,22,84
1222,Antoni van Leeuwenhoek Hospital,22,84
71,Shanghai Institutes for Biological Sciences,22,78
569,Stellenbosch University,22,72
1586,University of Pisa,22,71
2254,University of Florence,22,69
3558,Polish Academy of Sciences,22,69
2120,National Museum of Natural History,22,63
5015,University of Rennes 1,22,60
1782,Brigham Young University,22,56
535,Hiroshima University,22,55
4774,Institute of Science and Technology Austria,22,51
3979,University of Connecticut Health Center,22,41
2734,City University of Hong Kong,22,41
166,Max Planck Institute for Ornithology,22,39
3704,Indian Institute of Technology Ropar,22,38
2138,Universitätsklinikum Erlangen,21,129
46,Istituti di Ricovero e Cura a Carattere Scientifico,21,108
2141,New York Genome Center,21,94
1330,Universidade Federal de Minas Gerais,21,78
2129,Georgetown University,21,70
4053,Imperial Oil (Canada),21,69
612,University of Regensburg,21,67
18,Max Planck Institute for Molecular Genetics,21,67
3854,Martin Luther University Halle-Wittenberg,21,66
333,La Trobe University,21,57
2253,Sichuan University,21,56
207,Federal University of Sao Paulo,21,54
2350,University of Essex,21,53
2460,University of Warsaw,21,51
466,Bioinformatics Institute,21,50
2795,Cluster of Excellence on Plant Sciences,21,33
656,Medical University of Vienna,20,100
774,Autonomous University of Barcelona,20,94
4273,Max Planck Institute for Human Cognitive and Brain Sciences,20,78
2408,Massey University,20,67
41,Medical College of Wisconsin,20,62
126,Academic Medical Center,20,61
43,University of Luxembourg,20,57
963,Universidade Nova de Lisboa,20,49
2412,University of Jyväskylä,20,47
996,Bangor University,20,46
167,Austrian Academy of Sciences,20,45
3741,Hong Kong University of Science and Technology,20,44
2866,Fujian Agriculture and Forestry University,20,43
2856,Collège de France,20,37
2817,Laboratoire de Physique Théorique,20,31
1144,Berlin Brandenburg Institute of Advanced Biodiversity Research,20,26
2006,Cincinnati Children's Hospital Medical Center,19,84
2154,Georgia State University,19,65
938,Pirbright Institute,19,51
1218,Max Planck Institute for Chemical Ecology,19,48
5037,Institut de la Vision,19,46
1317,University of Potsdam,19,43
3911,Swiss Federal Institute of Aquatic Science and Technology,19,42
478,University of South Australia,19,36
443,Alberta Children's Hospital,19,33
2924,University of Ibadan,19,29
83,Russian Academy of Sciences,18,95
2130,University of Greifswald,18,93
329,Kiel University,18,84
1241,German Center for Integrative Biodiversity Research,18,68
284,University of KwaZulu-Natal,18,64
933,Federal University of Rio Grande do Sul,18,58
2303,Université de Sherbrooke,18,58
3099,Shanghai Institute for Science of Science,18,55
1751,MIND Research Institute,18,51
5030,Structural Genomics Consortium,18,47
2024,Centre d'Ecologie Fonctionnelle et Evolutive,18,47
434,The Alan Turing Institute,18,44
1800,East Carolina University,18,41
3823,Max Planck Institute for Informatics,18,40
3389,Memorial University of Newfoundland,18,39
4758,Division of Chemistry,18,39
1309,Federal University of Rio Grande do Norte,18,38
3194,Universidade Federal de Viçosa,18,33
379,Shandong Agricultural University,18,28
5644,Homi Bhabha National Institute,18,25
2069,Children's Hospital of Philadelphia,17,135
1555,Institute for Molecular Medicine Finland,17,109
1169,Sorbonne Paris Cité,17,103
185,Ontario Institute for Cancer Research,17,95
1556,Institute Curie,17,75
1089,Sapienza University of Rome,17,74
705,Deakin University,17,66
2360,National University System,17,64
3443,University of Montana,17,61
2171,Keio University,17,60
706,University of Duisburg-Essen,17,56
1853,QB3,17,54
2807,National Research Council,17,49
494,Amsterdam Neuroscience,17,48
1386,Nanjing University,17,46
2227,Concordia University,17,45
3447,University of Wisconsin–Milwaukee,17,42
3941,Umeå Plant Science Centre,17,41
1958,Carleton University,17,39
1814,Buck Institute for Research on Aging,17,38
40,University of North Carolina at Charlotte,17,30
2076,Harbin Institute of Technology,17,30
4790,Jawaharlal Nehru University,17,29
4849,Frankfurt Institute for Advanced Studies,17,28
321,German Center for Neurodegenerative Diseases,16,117
2697,University of Lille,16,73
462,University of Tsukuba,16,61
643,Sao Paulo State University,16,60
541,University of Pavia,16,55
3301,SUNY Upstate Medical University,16,54
203,National Institute of Diabetes and Digestive and Kidney Diseases,16,54
3891,University of Science and Technology of China,16,52
2073,Montana State University,16,51
4063,Moscow Institute of Physics and Technology,16,50
3647,Comisión Sectorial de Investigación Científica,16,49
1353,Research Institute of Molecular Pathology,16,47
1306,University of Surrey,16,46
3453,Utah State University,16,45
1548,Oxford Brookes University,16,45
5307,Institute for Biomedical Engineering,16,44
3266,University of Naples Federico II,16,43
1293,Sanford Burnham Prebys Medical Discovery Institute,16,43
1878,Chinese Academy of Medical Sciences & Peking Union Medical College,16,42
1162,King Abdulaziz University,16,42
2877,Nankai University,16,40
4918,Wellcome / CRUK Gurdon Institute,16,39
3086,"University of California, Merced",16,39
902,Augusta University,16,37
1532,George Mason University,16,37
1611,Technical University of Madrid,16,36
2718,Institut de Biologie de l'École Normale Supérieure,16,34
1177,University of Central Florida,16,28
2189,University of Hyderabad,16,25
4458,University of Hull,16,23
4789,National Institute of Plant Genome Research,16,22
4787,Illumina (United States),15,83
231,Cedars-Sinai Medical Center,15,79
2377,Western General Hospital,15,70
1205,Universität Hamburg,15,64
2589,Max Planck Institute for Plant Breeding Research,15,62
1249,Oak Ridge National Laboratory,15,57
2081,Instituto de Salud Carlos III,15,56
113,University of Giessen,15,55
3101,Masaryk University,15,51
2361,Curtin University,15,51
3190,Pontifical Catholic University of Chile,15,51
154,IBM (Germany),15,46
249,Tongji University,15,45
3734,United Cancer Support Foundation,15,45
87,University College Cork,15,44
1755,Lyon Neuroscience Research Center,15,43
312,"Agency for Science, Technology and Research",15,42
2034,James Hutton Institute,15,42
2344,Naturalis Biodiversity Center,15,41
677,Peter Doherty Institute,15,39
920,Griffith University,15,38
1331,Loyola University Chicago,15,38
3522,The University of Texas at San Antonio,15,37
815,Institut de Biologie Paris-Seine,15,36
1873,Cambridgeshire and Peterborough NHS Foundation Trust,15,31
3067,University of Salamanca,15,30
2103,National Research University Higher School of Economics,15,27
4896,National Center for Biotechnology Information,15,27
3318,Universiti Putra Malaysia,15,26
1846,University of Calcutta,15,26
4,Universiti Sains Malaysia,15,25
4245,Novosibirsk State University,15,25
2300,Centre de Biochimie Structurale,15,24
2936,William & Mary,15,24
2679,Chongqing University,15,22
4902,National Centre for Cell Science,15,19
3311,Wildlife Institute of India,15,19
4043,Kansai Medical University,15,18
2339,SickKids Foundation,14,118
1197,University of Oulu,14,84
2059,St. Jude Children's Research Hospital,14,67
450,NO.3 People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,14,61
512,American Museum of Natural History,14,56
1145,Berlin Institute of Health,14,56
3121,University of Hawaii System,14,55
681,University of the Witwatersrand,14,55
386,Forschungszentrum Jülich,14,55
3608,Western Sydney University,14,54
3560,Ruhr University Bochum,14,54
4769,HudsonAlpha Institute for Biotechnology,14,53
2196,Sungkyunkwan University,14,50
2750,Cleveland Clinic Lerner College of Medicine,14,46
1150,Technical University of Berlin,14,46
1768,Translational Genomics Research Institute,14,46
1603,Lancaster University,14,43
1296,Van Andel Institute,14,41
721,New York State Department of Health,14,41
862,Northern Arizona University,14,40
2025,Université Paul-Valéry Montpellier,14,40
1856,University of California Davis Medical Center,14,39
1721,University of Natural Resources and Life Sciences,14,38
85,Aalborg University,14,37
4859,Fritz Lipmann Institute,14,37
2648,Wuhan University,14,37
1665,University of Wrocław,14,35
3418,Rensselaer Polytechnic Institute,14,35
500,University of Wisconsin School of Medicine and Public Health,14,35
2651,Jilin University,14,32
80,Institute for Advanced Study,14,32
4813,International Centre for Genetic Engineering and Biotechnology,14,31
2501,Universidad de Los Andes,14,30
6623,Yale Cancer Center,14,29
1450,Rochester Institute of Technology,14,27
3263,Max Planck Institute of Neurobiology,14,27
3660,Miami University,14,25
3748,Indian Institute of Science Education and Research Mohali,14,25
3546,Doshisha University,14,24
985,Banaras Hindu University,14,24
1730,"University of Maryland, Baltimore County",14,21
538,Public Health England,13,83
3726,Istituto Superiore di Sanità,13,68
3599,Institut de Recherche pour le Développement,13,57
2170,Haukeland University Hospital,13,51
1770,Helmholtz Centre for Infection Research,13,51
1105,Capital Medical University,13,48
45,National and Kapodistrian University of Athens,13,47
1592,University of Ulm,13,45
783,The Arctic University of Norway,13,44
2213,Shandong University,13,43
221,James Cook University,13,35
1762,National Tsing Hua University,13,33
3925,Estación Biológica de Doñana,13,31
3838,Max Planck Institute for Brain Research,13,31
2357,Centre for Cognitive Neuroscience,13,30
2088,University of South Dakota,13,29
534,The University of Texas at Arlington,13,28
2830,Biometry and Evolutionary Biology Laboratory,13,28
1375,University of Delhi,13,28
2587,Koç University,13,27
3583,New England Biolabs,13,25
303,Yale-NUS College,13,24
416,Méditerranée Infection Foundation,13,24
2996,Zoological Society of London,13,24
2858,Northeast Agricultural University,13,20
3744,Indian Institute of Technology Madras,13,19
493,VU University Medical Center,12,88
5289,German Centre for Cardiovascular Research,12,66
389,University of Valencia,12,64
2113,The University of Texas Health Science Center,12,52
2079,Nathan Kline Institute for Psychiatric Research,12,52
3342,Max Planck Institute for the Science of Human History,12,49
1559,Pacific Northwest National Laboratory,12,48
1093,Eötvös Loránd University,12,48
115,Otto-von-Guericke University Magdeburg,12,48
2935,Mississippi State University,12,44
2346,University of Victoria,12,43
1349,Centro de Investigación del Cáncer,12,43
106,Aberystwyth University,12,42
1172,"California State University, Chico",12,40
598,University of Maine,12,39
1458,Saint Petersburg State University,12,38
1327,Max Planck Institute for Biology of Ageing,12,38
1081,City Of Hope National Medical Center,12,37
1319,MRC Laboratory for Molecular Cell Biology,12,37
4701,Nara Institute of Science and Technology,12,37
372,Agrocampus Ouest,12,35
1609,SUNY Downstate Medical Center,12,33
2168,Universidade Federal do ABC,12,30
3479,Hong Kong Baptist University,12,29
4904,Florida Museum of Natural History,12,29
1897,University of Macau,12,25
3777,Indiana University Bloomington,12,25
2033,University of Costa Rica,12,24
2301,Centre de Biologie du Développement,12,23
5,University of Lethbridge,12,22
1181,Binghamton University,12,22
3498,Southern University of Science and Technology,12,22
4222,University of Kaiserslautern,12,22
4331,Georgetown University Medical Center,12,22
1659,Bioscience Research,12,22
5399,Sustainability Institute,12,20
6115,Laboratory of Computational and Quantitative Biology,12,20
5215,Laboratoire de Biologie du Développement,12,19
2159,Korea Institute for Advanced Study,12,18
3913,Ryukoku University,12,17
6762,Wuhan Institute of Bioengineering,12,17
11522,Africa City of Technology,12,16
2472,State University of Norte Fluminense,12,15
1288,Centre for Genomic Regulation,11,107
960,Babraham Institute,11,69
399,Vrije Universiteit Brussel,11,59
2052,Hannover Medical School,11,56
2555,Chalmers University of Technology,11,56
3683,Manipal University,11,51
110,Åbo Akademi University,11,49
619,University of New England,11,48
4772,Earlham Institute,11,47
2863,South China Agricultural University,11,45
