id,name,senior_author,any_author
0,UNKNOWN,9075,21322
10923,University of California System,1445,3174
243,Howard Hughes Medical Institute,761,1483
31,University of Cambridge,687,1651
453,Stanford University,599,1403
123,University of Oxford,564,1450
810,Harvard University,554,1344
88,University College London,518,1253
152,University of Washington,465,1120
8,University of Michigan–Ann Arbor,460,909
56,University of Edinburgh,418,910
20,University of Pennsylvania,410,855
14,Harvard Medical School,385,1225
279,Columbia University,360,792
9,University of Toronto,356,851
302,Imperial College London,355,814
881,Cornell University,331,684
219,Johns Hopkins University,327,767
50,University of Chicago,306,628
1283,University of North Carolina at Chapel Hill,292,691
1061,University of British Columbia,291,576
2084,The University of Texas at Austin,289,567
175,Massachusetts Institute of Technology,279,766
124,University of Minnesota,273,642
121,University of Melbourne,273,632
499,University of Wisconsin–Madison,271,498
727,Yale University,263,705
266,University of Queensland,259,624
474,Pennsylvania State University,252,473
52,"University of California, San Diego",250,620
242,National Institutes of Health,244,636
782,University of Copenhagen,237,621
433,McGill University,236,574
890,Princeton University,229,484
70,Northwestern University,225,466
37,Duke University,224,492
134,University of Bristol,222,489
3604,Johns Hopkins University School of Medicine,221,490
1796,Broad Institute,219,845
2571,Chan Zuckerberg Initiative (United States),219,339
1097,Radboud University Nijmegen,209,474
669,University of Zurich,207,524
334,University of Florida,206,478
1079,University of Illinois at Urbana Champaign,204,437
497,New York University,203,514
1229,Indiana University,193,374
1074,Michigan State University,184,351
1608,King's College London,180,538
2074,"University of Maryland, College Park",179,423
1199,Wellcome Sanger Institute,176,612
271,University of Southern California,170,450
1226,Swiss Institute of Bioinformatics,169,392
4854,Washington University in St. Louis School of Medicine,167,379
64,Georgia Institute of Technology,165,267
178,University of Pittsburgh,163,366
212,Icahn School of Medicine at Mount Sinai,158,508
1276,Weizmann Institute of Science,158,252
99,University of Helsinki,154,458
3659,Stanford University School of Medicine,154,457
320,University of Lausanne,152,366
818,University of Manchester,150,395
974,"University of California, San Francisco",144,411
296,University of Montpellier,144,330
1209,University of Massachusetts Medical School,142,280
457,University of Tokyo,141,346
1056,California Institute of Technology,140,319
581,University of Utah,139,337
139,University of Birmingham,139,319
987,Cold Spring Harbor Laboratory,139,253
53,Massachusetts General Hospital,138,599
2096,Washington University in St. Louis,138,315
74,Uppsala University,136,366
644,University of Sao Paulo,136,334
606,Chinese Academy of Sciences,135,446
1166,University of Glasgow,135,371
1219,Vanderbilt University,134,291
1208,University of Virginia,134,282
323,Karolinska Institute,133,490
42,Inserm,133,432
1602,University of Warwick,133,251
1,National University of Singapore,131,374
1213,Heidelberg University,131,336
800,University of Arizona,131,266
559,Monash University,130,337
2031,Scripps Research Institute,129,266
35,University of Georgia,128,301
1329,Boston University,126,349
673,University of Geneva,126,294
1085,"Rutgers, The State University of New Jersey",124,278
1190,Ghent University,123,265
217,University of Oslo,122,337
1000,University of Colorado Denver,122,326
1968,Carnegie Mellon University,118,222
12,Baylor College of Medicine,116,423
617,University of Tübingen,116,320
89,Aarhus University,115,350
129,University of Sheffield,115,296
610,Wageningen University & Research,115,271
19,"University of California, Berkeley",114,317
908,University of Sydney,112,349
2592,Dartmouth College,111,205
886,Emory University,110,312
899,PSL Research University,110,277
744,University of Bern,109,224
209,Ludwig Maximilian University of Munich,108,375
731,Rice University,108,227
662,Weill Cornell Medicine,107,316
2042,University of Dundee,107,204
2943,University of Oregon,107,196
214,Memorial Sloan Kettering Cancer Center,105,288
1989,Institució Catalana de Recerca i Estudis Avançats,104,230
3622,European Molecular Biology Laboratory,103,326
223,Brown University,103,232
141,Peking University,103,227
1537,Purdue University West Lafayette,103,202
215,UNSW Sydney,102,239
22,Tel Aviv University,102,208
253,Lawrence Berkeley National Laboratory,101,258
130,University of Nottingham,101,247
367,Texas A&M University,101,216
802,Arizona State University,101,205
729,University of Basel,100,290
1245,University of Exeter,100,281
690,Sorbonne University,98,272
2588,University of Tennessee at Knoxville,98,171
391,"University of California, Los Angeles",97,301
636,University of Montreal,97,265
131,University of Liverpool,97,264
245,Oregon Health & Science University,97,239
10896,National Council for Scientific Research,97,232
411,Aix-Marseille University,97,225
675,Institut Pasteur,96,315
1094,Cardiff University,96,272
1538,Newcastle University,96,271
16,University of Paris-Saclay,96,257
1223,The Ohio State University,96,242
1178,Utrecht University,95,269
629,École Polytechnique Fédérale de Lausanne,95,254
169,Norwich Research Park,94,193
1006,Pompeu Fabra University,92,307
1084,National Autonomous University of Mexico,92,219
66,Fred Hutchinson Cancer Research Center,91,282
1298,Kyoto University,91,249
2419,Roslin Institute,91,165
247,Tsinghua University,90,189
72,Tata Institute of Fundamental Research,90,136
874,Stony Brook University,89,199
172,Australian National University,89,194
57,Hebrew University of Jerusalem,88,192
1311,North Carolina State University,87,208
454,University of Connecticut,87,181
127,University of Amsterdam,86,269
3570,The University of Texas Southwestern Medical Center,86,196
552,Leiden University,85,220
600,"University of California, Davis",85,213
140,University of Leeds,84,189
713,New York University School of Medicine,83,205
1225,Technical University Munich,82,283
966,Technical University of Denmark,82,220
259,Virginia Tech,82,169
335,Iowa State University,82,157
325,University of Toulouse,81,183
1160,University of Chinese Academy of Sciences,80,305
1784,University of Sussex,80,146
736,University of Auckland,79,185
92,Rockefeller University,78,219
444,University of Alberta,78,202
537,London School of Hygiene & Tropical Medicine,78,196
779,University of Groningen,77,283
555,Moffitt Cancer Center,76,128
95,University of Iowa,75,199
809,University of Calgary,75,180
26,University Medical Center Hamburg-Eppendorf,75,175
5155,Sun Yat-sen University,75,163
107,University of Delaware,75,128
3627,Duke University Hospital,74,207
1196,University of Cologne,74,193
1337,Yale School of Medicine,74,174
2053,Indian Institute of Soil Science,74,116
623,ETH Zurich,73,190
1589,Indian Institute of Science Education and Research Pune,73,107
837,Nanyang Technological University,72,157
879,University of Ottawa,72,139
659,Women's Hospital,71,363
821,Colorado State University,71,178
79,University of Rochester,71,167
772,Stockholm University,71,157
262,Virginia Commonwealth University,71,148
238,RIKEN,69,262
104,University of Washington School of Medicine,69,214
158,University of Adelaide,69,169
1975,Case Western Reserve University,69,169
2036,MRC Laboratory of Molecular Biology,69,153
51,Lund University,68,226
328,Humboldt University of Berlin,68,188
1324,Technion – Israel Institute of Technology,68,94
4656,Medical Research Council,66,183
3162,European Bioinformatics Institute,65,281
11,The University of Texas MD Anderson Cancer Center,65,190
710,German Cancer Research Center,64,225
161,The Francis Crick Institute,64,220
770,University of Vienna,64,180
