"country","total","published"
"United States of America","13786","9154"
"UNKNOWN","5781","3217"
"United Kingdom of Great Britain and Northern Ireland","3787","2493"
"Germany","1630","1104"
"France","1341","893"
"Canada","1190","776"
"China","1155","508"
"Australia","924","595"
"Switzerland","651","455"
"Netherlands","620","414"
"Japan","557","338"
"India","539","261"
"Spain","462","293"
"Sweden","410","270"
"Italy","377","215"
"Brazil","308","149"
"Israel","297","174"
"Denmark","284","188"
"Belgium","219","140"
"Norway","182","120"
"Singapore","165","98"
"Korea, Republic of","163","81"
"Finland","158","100"
"Russian Federation","129","73"
"New Zealand","127","90"
"Austria","123","81"
"Portugal","116","74"
"South Africa","91","59"
"Taiwan, Province of China","89","41"
"Poland","81","47"
"Mexico","68","42"
"Argentina","66","40"
"Ireland","65","48"
"Iran (Islamic Republic of),","60","26"
"Hungary","52","34"
"Saudi Arabia","51","30"
"Czechia","48","30"
"Chile","48","21"
"Turkey","40","19"
"Colombia","37","14"
"Malaysia","33","12"
"Estonia","30","18"
"Philippines","29","17"
"Pakistan","28","7"
"Qatar","26","12"
"Thailand","25","13"
"Greece","24","18"
"Panama","23","14"
"Nigeria","23","14"
"Ethiopia","22","6"
"Côte d'Ivoire","22","17"
"Egypt","18","4"
"Bangladesh","18","6"
"Luxembourg","17","9"
"Kenya","17","6"
"Iceland","15","11"
"Uruguay","13","6"
"Ghana","13","6"
"Croatia","12","7"
"Sudan","11","2"
"Bolivia (Plurinational State of),","10","5"
"Venezuela (Bolivarian Republic of),","9","8"
"Sri Lanka","8","4"
"Slovenia","8","7"
"Slovakia","8","4"
"Romania","8","4"
"Costa Rica","8","2"
"Bulgaria","8","5"
"Ukraine","7","4"
"Nepal","6","2"
"Macao","6","3"
"Indonesia","6","2"
"Greenland","6","4"
"Cameroon","6","1"
"Ecuador","5","0"
"Cyprus","5","2"
"Viet Nam","4","1"
"Uganda","4","2"
"Morocco","4","1"
"Malawi","4","1"
"Benin","4","3"
"Zimbabwe","3","1"
"United Arab Emirates","3","2"
"Tanzania, United Republic of","3","1"
"Iraq","3","2"
"Gabon","3","2"
"Cuba","3","1"
"Armenia","3","1"
"Tunisia","2","1"
"Trinidad and Tobago","2","0"
"Peru","2","2"
"Palestine, State of","2","2"
"Mozambique","2","1"
"Guyana","2","0"
"Guatemala","2","2"
"Brunei Darussalam","2","0"
"Algeria","2","1"
"Afghanistan","2","1"
"Zambia","1","1"
"Uzbekistan","1","0"
"Turkmenistan","1","1"
"Serbia","1","0"
"Senegal","1","0"
"Réunion","1","1"
"Rwanda","1","1"
"Nicaragua","1","1"
"Monaco","1","0"
"Madagascar","1","1"
"Lithuania","1","0"
"Latvia","1","0"
"Lao People's Democratic Republic","1","0"
"Guinea-Bissau","1","0"
"Dominican Republic","1","1"
"Curaçao","1","0"
"Cambodia","1","0"
"Burkina Faso","1","0"
