"article","month","year","countries","authors"
1235,"5","2019","13","38"
24287,"7","2018","13","36"
50980,"5","2019","13","24"
9269,"3","2018","12","164"
10350,"6","2016","12","139"
58796,"8","2019","12","119"
10426,"4","2016","12","110"
57904,"8","2019","12","105"
54281,"6","2019","12","83"
28542,"8","2018","12","83"
8355,"5","2016","12","80"
36073,"11","2018","12","78"
63932,"10","2019","12","77"
35300,"10","2018","12","71"
10055,"3","2017","12","65"
49007,"5","2019","12","60"
42590,"1","2019","12","54"
18624,"4","2018","12","54"
56186,"9","2019","12","53"
50552,"11","2019","12","51"
10556,"10","2015","12","47"
43025,"2","2019","12","42"
52076,"5","2019","12","39"
10661,"2","2015","12","39"
41771,"1","2019","12","34"
46834,"4","2019","12","30"
10248,"10","2016","12","28"
1423,"2","2018","12","18"
32107,"9","2018","11","130"
17250,"6","2017","11","85"
1588,"10","2019","11","79"
16054,"11","2016","11","77"
33200,"9","2018","11","76"
7873,"3","2017","11","74"
10070,"3","2017","11","72"
47396,"3","2019","11","72"
66946,"11","2019","11","69"
42052,"1","2019","11","68"
42455,"1","2019","11","67"
7553,"8","2017","11","65"
45651,"3","2019","11","58"
6858,"4","2018","11","56"
37004,"11","2018","11","54"
19273,"5","2016","11","53"
45928,"3","2019","11","51"
35104,"10","2018","11","50"
10509,"12","2015","11","50"
66127,"12","2019","11","48"
43532,"2","2019","11","47"
13322,"2","2019","11","39"
38187,"12","2018","11","38"
19023,"8","2017","11","37"
39999,"12","2018","11","35"
7659,"7","2017","11","35"
8044,"12","2016","11","34"
34411,"11","2019","11","33"
38226,"4","2019","11","31"
69328,"12","2019","11","31"
9360,"2","2018","11","27"
28700,"10","2016","11","26"
49494,"4","2019","11","24"
10078,"3","2017","11","22"
56185,"11","2019","11","19"
28678,"2","2017","11","18"
9296,"2","2018","10","129"
9063,"5","2018","10","120"
7644,"7","2017","10","115"
54438,"6","2019","10","111"
1840,"6","2018","10","95"
7352,"11","2017","10","93"
32250,"6","2019","10","85"
13340,"3","2018","10","76"
9933,"6","2017","10","72"
46927,"3","2019","10","71"
9715,"9","2017","10","66"
58489,"8","2019","10","64"
8714,"12","2014","10","60"
10735,"2","2014","10","59"
10336,"7","2016","10","57"
47134,"4","2019","10","56"
7938,"2","2017","10","55"
8867,"3","2019","10","54"
6986,"3","2018","10","52"
56022,"7","2019","10","52"
59766,"9","2019","10","51"
16950,"4","2018","10","50"
63169,"10","2019","10","47"
1957,"5","2018","10","46"
37878,"12","2018","10","43"
34418,"10","2018","10","43"
24979,"1","2018","10","42"
41504,"1","2019","10","41"
8946,"6","2018","10","40"
24274,"7","2018","10","39"
51940,"5","2019","10","38"
57509,"8","2019","10","38"
68542,"12","2019","10","36"
50508,"5","2019","10","35"
8372,"4","2016","10","35"
27438,"9","2016","10","34"
28665,"4","2017","10","31"
9849,"7","2017","10","30"
9434,"1","2018","10","30"
56993,"7","2019","10","29"
7939,"2","2017","10","28"
16975,"6","2019","10","27"
25775,"12","2016","10","27"
25818,"12","2016","10","26"
61227,"9","2019","10","26"
63405,"10","2019","10","25"
31233,"8","2018","10","22"
16857,"6","2018","10","22"
25995,"7","2016","10","21"
44791,"2","2019","10","20"
7407,"10","2017","10","18"
24296,"7","2018","10","17"
18556,"5","2018","10","16"
56503,"7","2019","10","14"
35877,"11","2018","9","177"
53709,"6","2019","9","107"
48229,"4","2019","9","88"
41208,"1","2019","9","60"
9585,"11","2017","9","57"
61302,"9","2019","9","57"
43133,"2","2019","9","57"
32025,"9","2018","9","56"
1634,"9","2018","9","53"
9431,"1","2018","9","50"
5302,"2","2016","9","50"
10501,"1","2016","9","49"
21581,"9","2018","9","48"
9085,"5","2018","9","47"
44091,"3","2019","9","47"
39811,"12","2018","9","45"
46556,"3","2019","9","44"
69034,"12","2019","9","43"
9448,"12","2017","9","43"
1712,"7","2018","9","42"
45856,"3","2019","9","42"
66533,"11","2019","9","42"
7953,"2","2017","9","41"
57541,"8","2019","9","40"
35285,"10","2018","9","39"
8527,"11","2015","9","39"
10561,"10","2015","9","38"
8898,"7","2018","9","38"
2935,"4","2018","9","37"
68172,"12","2019","9","36"
44227,"3","2019","9","36"
38679,"5","2017","9","35"
31277,"8","2018","9","35"
9270,"3","2018","9","34"
34883,"10","2018","9","34"
4739,"12","2016","9","33"
2086,"8","2018","9","33"
54483,"7","2019","9","32"
54875,"12","2019","9","32"
48077,"7","2019","9","32"
58642,"8","2019","9","31"
9858,"7","2017","9","31"
60457,"9","2019","9","30"
54339,"6","2019","9","29"
59894,"9","2019","9","27"
36561,"11","2018","9","27"
17198,"9","2017","9","27"
51857,"11","2019","9","26"
65161,"11","2019","9","25"
63466,"10","2019","9","25"
19046,"4","2017","9","25"
16781,"7","2018","9","25"
43869,"2","2019","9","24"
46852,"3","2019","9","24"
25537,"5","2017","9","23"
6518,"11","2016","9","22"
8349,"5","2016","9","21"
1794,"6","2018","9","21"
64313,"10","2019","9","21"
48647,"5","2019","9","19"
46455,"3","2019","9","18"
1950,"5","2018","9","18"
9712,"9","2017","9","18"
25725,"2","2017","9","17"
8048,"12","2016","9","17"
19412,"12","2014","9","15"
57853,"8","2019","9","14"
19235,"7","2016","9","13"
50883,"5","2019","9","10"
9516,"11","2017","8","76"
9765,"8","2017","8","73"
7219,"12","2017","8","71"
32880,"9","2018","8","69"
61746,"9","2019","8","69"
9393,"1","2018","8","65"
67795,"12","2019","8","64"
50722,"5","2019","8","60"
68611,"12","2019","8","56"
8948,"6","2018","8","55"
10259,"9","2016","8","54"
7065,"2","2018","8","54"
9176,"4","2018","8","53"
8638,"6","2015","8","47"
9471,"12","2017","8","46"
9544,"11","2017","8","46"
1927,"5","2018","8","46"
12044,"7","2018","8","45"
46871,"3","2019","8","45"
45740,"3","2019","8","43"
43948,"2","2019","8","43"
35268,"10","2018","8","42"
7434,"9","2019","8","41"
50640,"5","2019","8","39"
66192,"11","2019","8","39"
65822,"11","2019","8","38"
2316,"10","2018","8","38"
66470,"11","2019","8","37"
59498,"8","2019","8","37"
41963,"1","2019","8","35"
2300,"7","2018","8","35"
27206,"10","2017","8","35"
9853,"7","2017","8","35"
14795,"9","2017","8","34"
63634,"10","2019","8","34"
63588,"11","2019","8","34"
10671,"1","2015","8","33"
25385,"7","2017","8","32"
68430,"12","2019","8","31"
43449,"2","2019","8","31"
61456,"9","2019","8","31"
59226,"8","2019","8","31"
63428,"10","2019","8","31"
46849,"6","2019","8","30"
13091,"10","2019","8","30"
35645,"5","2019","8","30"
21238,"4","2018","8","30"
8887,"7","2018","8","29"
15888,"1","2017","8","29"
36404,"12","2018","8","29"
52058,"6","2019","8","29"
69437,"12","2019","8","28"
48045,"4","2019","8","28"
58067,"8","2019","8","27"
55760,"7","2019","8","27"
20986,"8","2018","8","27"
20997,"8","2018","8","27"
9644,"10","2017","8","27"
3305,"2","2018","8","27"
19680,"4","2018","8","26"
55767,"7","2019","8","26"
56377,"7","2019","8","25"
60906,"9","2019","8","25"
43800,"3","2019","8","25"
43955,"3","2019","8","25"
37029,"11","2018","8","25"
1858,"6","2018","8","25"
5042,"7","2016","8","24"
37656,"12","2018","8","24"
46930,"7","2019","8","24"
63010,"10","2019","8","24"
52201,"8","2019","8","23"
37626,"11","2018","8","23"
12707,"5","2018","8","22"
8547,"11","2015","8","22"
10032,"3","2017","8","22"
51754,"7","2019","8","22"
46689,"3","2019","8","22"
51799,"6","2019","8","22"
68567,"12","2019","8","22"
64985,"10","2019","8","21"
47367,"3","2019","8","21"
49749,"5","2019","8","21"
33562,"7","2019","8","21"
18510,"11","2018","8","20"
21545,"9","2017","8","20"
8450,"2","2016","8","20"
18288,"8","2018","8","19"
41684,"1","2019","8","19"
10854,"1","2019","8","19"
48298,"4","2019","8","19"
58321,"8","2019","8","18"
68947,"12","2019","8","18"
56926,"7","2019","8","18"
56178,"8","2019","8","18"
16918,"5","2018","8","18"
8464,"2","2016","8","17"
28256,"7","2017","8","17"
45634,"3","2019","8","17"
54674,"7","2019","8","16"
17234,"7","2017","8","16"
1823,"6","2018","8","16"
1756,"7","2018","8","16"
38706,"2","2017","8","16"
28656,"5","2017","8","15"
16328,"7","2016","8","15"
18393,"7","2018","8","15"
36217,"11","2018","8","15"
34324,"6","2019","8","15"
68465,"12","2019","8","15"
55952,"7","2019","8","15"
58139,"9","2019","8","14"
41856,"3","2019","8","14"
36587,"11","2018","8","14"
18841,"12","2017","8","14"
17237,"7","2017","8","13"
38543,"12","2018","8","12"
54609,"6","2019","8","12"
62735,"10","2019","8","12"
50616,"5","2019","8","11"
19266,"5","2016","8","11"
37770,"11","2018","8","11"
31707,"9","2018","7","109"
6917,"3","2018","7","92"
9657,"10","2017","7","90"
7200,"12","2017","7","72"
18924,"10","2017","7","64"
53266,"6","2019","7","64"
49815,"5","2019","7","63"
34984,"10","2018","7","60"
15818,"2","2017","7","59"
1632,"7","2018","7","59"
34887,"10","2018","7","55"
56558,"7","2019","7","53"
52794,"7","2019","7","51"
9313,"2","2018","7","51"
51580,"5","2019","7","50"
15473,"5","2017","7","49"
8657,"5","2015","7","49"
9437,"1","2018","7","48"
4467,"4","2017","7","48"
53421,"6","2019","7","48"
68180,"12","2019","7","46"
54146,"6","2019","7","46"
21055,"7","2018","7","46"
2052,"8","2018","7","45"
4518,"3","2017","7","44"
59353,"8","2019","7","44"
55538,"7","2019","7","43"
66199,"12","2019","7","43"
58880,"8","2019","7","42"
11576,"8","2018","7","42"
38549,"12","2018","7","41"
34772,"4","2019","7","40"
6815,"8","2018","7","40"
10026,"4","2017","7","40"
7091,"2","2018","7","40"
28375,"2","2017","7","38"
13380,"3","2018","7","37"
28601,"11","2018","7","37"
9897,"6","2017","7","36"
8975,"6","2018","7","36"
56479,"7","2019","7","35"
69548,"12","2019","7","34"
47674,"4","2019","7","33"
10315,"8","2016","7","33"
7955,"2","2017","7","32"
10051,"3","2017","7","32"
38023,"12","2018","7","32"
57139,"7","2019","7","32"
58990,"9","2019","7","31"
63666,"10","2019","7","31"
14928,"8","2017","7","31"
16721,"12","2013","7","31"
16987,"3","2018","7","30"
8306,"6","2016","7","30"
56233,"7","2019","7","30"
46334,"3","2019","7","30"
43568,"2","2019","7","30"
65853,"11","2019","7","30"
55605,"11","2019","7","30"
61661,"9","2019","7","29"
52199,"5","2019","7","29"
10710,"8","2014","7","29"
13576,"2","2018","7","29"
2070,"7","2018","7","28"
8941,"6","2018","7","28"
9999,"4","2017","7","28"
8021,"1","2017","7","28"
4785,"11","2016","7","28"
10703,"9","2014","7","28"
50651,"5","2019","7","28"
65231,"11","2019","7","27"
29434,"3","2019","7","27"
9641,"10","2017","7","27"
7598,"7","2017","7","27"
24365,"6","2018","7","27"
2121,"7","2018","7","26"
7773,"5","2017","7","26"
34025,"3","2019","7","26"
485,"7","2018","7","26"
69863,"12","2019","7","26"
67325,"11","2019","7","25"
56028,"7","2019","7","25"
58538,"8","2019","7","25"
42025,"3","2019","7","25"
13943,"1","2018","7","25"
37576,"11","2018","7","25"
9891,"6","2017","7","25"
33627,"11","2018","7","25"
8039,"12","2016","7","25"
25055,"12","2017","7","24"
7689,"6","2017","7","24"
9325,"2","2018","7","24"
52084,"5","2019","7","24"
61812,"9","2019","7","24"
68890,"12","2019","7","23"
11731,"8","2018","7","23"
29317,"4","2018","7","23"
607,"6","2018","7","22"
6682,"2","2016","7","22"
6255,"5","2017","7","22"
27861,"6","2018","7","22"
9485,"12","2017","7","22"
64646,"10","2019","7","22"
46204,"3","2019","7","22"
47211,"4","2019","7","22"
56412,"7","2019","7","22"
45109,"3","2019","7","21"
56380,"7","2019","7","21"
62667,"10","2019","7","21"
69943,"12","2019","7","21"
6167,"7","2017","7","21"
36968,"2","2019","7","21"
2391,"6","2018","7","21"
28717,"3","2016","7","21"
7035,"2","2018","7","20"
17475,"12","2018","7","20"
28464,"5","2016","7","20"
6063,"8","2017","7","20"
38127,"2","2019","7","20"
53337,"6","2019","7","20"
51547,"12","2019","7","20"
65596,"11","2019","7","20"
62817,"10","2019","7","20"
63815,"10","2019","7","19"
47417,"3","2019","7","19"
12121,"8","2018","7","19"
6413,"2","2017","7","19"
34147,"10","2018","7","19"
7832,"4","2017","7","18"
51859,"5","2019","7","18"
50342,"5","2019","7","18"
50327,"12","2019","7","18"
51221,"5","2019","7","18"
44726,"2","2019","7","18"
68352,"12","2019","7","18"
68823,"12","2019","7","17"
64392,"10","2019","7","17"
51332,"5","2019","7","17"
47187,"11","2019","7","17"
51629,"5","2019","7","17"
44809,"2","2019","7","17"
43267,"3","2019","7","17"
40564,"12","2018","7","17"
31229,"11","2018","7","17"
40349,"12","2018","7","16"
10355,"6","2016","7","16"
45975,"3","2019","7","16"
57109,"7","2019","7","16"
66076,"11","2019","7","15"
63541,"10","2019","7","15"
54052,"6","2019","7","15"
62318,"10","2019","7","15"
62464,"10","2019","7","15"
26168,"3","2016","7","15"
33081,"9","2018","7","15"
15038,"8","2017","7","15"
9718,"9","2017","7","14"
9650,"10","2017","7","14"
57871,"8","2019","7","14"
55265,"12","2019","7","14"
42189,"1","2019","7","13"
64151,"10","2019","7","13"
43058,"6","2019","7","13"
38025,"12","2018","7","13"
30146,"1","2019","7","13"
17279,"5","2017","7","13"
7963,"2","2019","7","13"
25814,"12","2016","7","13"
23000,"3","2017","7","13"
10306,"8","2016","7","13"
34703,"12","2018","7","12"
35211,"10","2018","7","12"
33169,"10","2018","7","12"
3308,"2","2018","7","12"
15429,"5","2017","7","12"
46868,"3","2019","7","12"
46193,"3","2019","7","12"
55559,"7","2019","7","11"
62136,"9","2019","7","11"
5763,"2","2014","7","11"
38707,"2","2017","7","11"
5373,"11","2015","7","11"
14039,"2","2019","7","11"
24881,"2","2018","7","10"
12390,"6","2018","7","10"
64468,"10","2019","7","10"
58311,"8","2019","7","10"
56133,"9","2019","7","9"
53416,"7","2019","7","8"
65598,"11","2019","7","8"
25720,"2","2017","7","8"
18306,"8","2018","7","8"
38823,"12","2018","7","8"
65376,"11","2019","7","7"
45432,"3","2019","6","178"
9609,"10","2017","6","100"
16948,"4","2018","6","80"
42630,"8","2019","6","66"
50727,"5","2019","6","65"
1329,"3","2018","6","59"
7061,"2","2018","6","57"
9732,"9","2017","6","53"
6988,"9","2018","6","48"
1668,"8","2018","6","46"
35099,"10","2018","6","45"
21398,"1","2018","6","45"
7497,"9","2017","6","45"
24790,"3","2018","6","44"
36244,"4","2019","6","43"
40841,"1","2019","6","43"
25109,"11","2017","6","41"
63963,"10","2019","6","41"
55788,"7","2019","6","41"
44894,"9","2019","6","40"
7108,"1","2018","6","40"
17080,"12","2017","6","39"
6928,"3","2018","6","39"
7868,"3","2017","6","39"
53033,"6","2019","6","39"
54632,"7","2019","6","38"
63090,"10","2019","6","38"
54030,"6","2019","6","38"
1805,"6","2018","6","38"
17079,"12","2017","6","38"
7730,"6","2017","6","38"
7138,"1","2018","6","37"
2113,"7","2018","6","36"
8809,"5","2014","6","36"
6825,"10","2019","6","36"
36284,"4","2019","6","36"
8260,"7","2016","6","36"
52096,"5","2019","6","36"
11993,"7","2018","6","35"
8232,"8","2016","6","35"
10273,"9","2016","6","35"
19718,"4","2018","6","35"
40559,"4","2019","6","34"
9173,"4","2018","6","34"
33935,"10","2018","6","34"
52993,"6","2019","6","34"
62929,"10","2019","6","34"
51834,"5","2019","6","34"
53456,"6","2019","6","34"
42970,"2","2019","6","34"
58594,"8","2019","6","34"
67498,"11","2019","6","33"
47756,"4","2019","6","33"
44490,"2","2019","6","33"
56788,"7","2019","6","33"
9552,"11","2017","6","33"
2293,"5","2019","6","33"
9148,"9","2018","6","32"
10364,"6","2016","6","32"
9149,"4","2018","6","32"
2182,"7","2018","6","32"
69576,"12","2019","6","32"
3084,"3","2018","6","31"
9525,"11","2017","6","31"
31985,"9","2018","6","31"
36197,"11","2018","6","31"
14084,"12","2017","6","30"
19616,"5","2018","6","30"
40599,"12","2018","6","30"
9330,"2","2018","6","30"
6645,"4","2016","6","30"
34617,"10","2018","6","30"
28454,"6","2016","6","30"
38314,"12","2018","6","30"
41919,"1","2019","6","30"
64058,"11","2019","6","30"
54504,"6","2019","6","30"
61289,"9","2019","6","30"
45725,"9","2019","6","29"
47397,"3","2019","6","29"
21256,"11","2018","6","29"
21484,"11","2017","6","29"
37990,"12","2018","6","29"
28617,"1","2018","6","29"
6291,"5","2017","6","29"
19757,"3","2018","6","28"
36720,"11","2018","6","28"
7382,"10","2017","6","28"
21423,"12","2017","6","28"
45961,"3","2019","6","28"
44077,"2","2019","6","28"
42352,"1","2019","6","27"
60427,"9","2019","6","27"
65689,"11","2019","6","27"
37399,"11","2018","6","27"
39700,"12","2018","6","27"
16417,"5","2016","6","27"
9633,"4","2019","6","26"
8863,"8","2018","6","26"
32249,"9","2018","6","26"
10209,"11","2016","6","26"
1364,"5","2019","6","26"
5196,"4","2016","6","26"
10265,"9","2016","6","26"
1492,"4","2019","6","26"
38432,"12","2018","6","26"
52612,"6","2019","6","26"
49695,"4","2019","6","26"
42487,"8","2019","6","26"
49391,"6","2019","6","26"
62096,"9","2019","6","26"
56725,"7","2019","6","25"
60302,"12","2019","6","25"
50309,"5","2019","6","25"
46843,"3","2019","6","25"
46588,"3","2019","6","25"
5751,"3","2014","6","25"
41280,"1","2019","6","25"
25582,"4","2017","6","25"
11462,"9","2016","6","25"
8128,"10","2016","6","25"
3001,"3","2018","6","25"
7158,"1","2018","6","25"
9815,"7","2017","6","25"
5443,"9","2015","6","25"
30550,"12","2017","6","25"
13574,"2","2018","6","25"
2942,"4","2018","6","24"
35931,"2","2019","6","24"
7604,"7","2017","6","24"
29854,"12","2016","6","24"
29855,"12","2016","6","24"
9253,"3","2018","6","24"
8546,"11","2015","6","24"
27894,"5","2018","6","24"
19697,"4","2018","6","24"
43655,"2","2019","6","24"
66701,"11","2019","6","24"
62625,"10","2019","6","24"
48115,"4","2019","6","24"
48067,"4","2019","6","23"
65309,"11","2019","6","23"
66163,"12","2019","6","23"
28430,"9","2016","6","23"
19359,"9","2015","6","23"
6416,"2","2017","6","23"
9926,"6","2017","6","23"
9782,"8","2017","6","23"
10568,"9","2015","6","23"
10745,"8","2018","6","23"
6176,"7","2017","6","23"
35811,"10","2018","6","23"
3291,"7","2019","6","23"
19549,"7","2018","6","23"
33068,"9","2018","6","23"
31299,"8","2018","6","23"
31239,"8","2018","6","22"
12176,"7","2018","6","22"
12363,"1","2019","6","22"
26156,"3","2016","6","22"
46599,"3","2019","6","22"
59223,"8","2019","6","22"
56251,"8","2019","6","22"
53091,"11","2019","6","22"
46596,"3","2019","6","21"
59743,"9","2019","6","21"
61854,"9","2019","6","21"
54305,"6","2019","6","21"
57470,"8","2019","6","21"
42585,"1","2019","6","21"
62327,"10","2019","6","21"
68229,"12","2019","6","21"
64896,"10","2019","6","21"
15796,"2","2017","6","21"
40210,"12","2018","6","21"
24473,"10","2019","6","21"
479,"12","2018","6","21"
35310,"10","2018","6","21"
27182,"11","2017","6","21"
19548,"7","2018","6","21"
2077,"7","2018","6","21"
38654,"6","2017","6","20"
23246,"8","2018","6","20"
18170,"6","2017","6","20"
24810,"3","2018","6","20"
1694,"4","2019","6","20"
40110,"12","2018","6","20"
26844,"6","2018","6","20"
62079,"10","2019","6","20"
44602,"12","2019","6","20"
49205,"4","2019","6","20"
55199,"7","2019","6","20"
68656,"12","2019","6","20"
68697,"12","2019","6","20"
57433,"8","2019","6","19"
46014,"3","2019","6","19"
53045,"6","2019","6","19"
45011,"12","2019","6","19"
61652,"9","2019","6","19"
47010,"3","2019","6","19"
69685,"12","2019","6","19"
51914,"5","2019","6","19"
38186,"12","2018","6","19"
25346,"8","2017","6","19"
37314,"11","2018","6","19"
9904,"6","2017","6","19"
9245,"1","2019","6","19"
24370,"6","2018","6","19"
9322,"2","2018","6","19"
9050,"5","2018","6","19"
34791,"10","2018","6","19"
18476,"6","2018","6","19"
10520,"12","2015","6","18"
29638,"9","2017","6","18"
23178,"3","2016","6","18"
16901,"5","2018","6","18"
41203,"1","2019","6","18"
23122,"9","2016","6","18"
30197,"8","2018","6","18"
17285,"5","2017","6","18"
17055,"1","2018","6","18"
10083,"2","2017","6","18"
31388,"8","2018","6","18"
55074,"7","2019","6","18"
66887,"11","2019","6","18"
63572,"10","2019","6","18"
67387,"11","2019","6","18"
50794,"5","2019","6","18"
58358,"8","2019","6","17"
55752,"7","2019","6","17"
65691,"11","2019","6","17"
48441,"4","2019","6","17"
64417,"10","2019","6","17"
65528,"11","2019","6","17"
68569,"12","2019","6","17"
41834,"1","2019","6","17"
33256,"9","2018","6","17"
7771,"5","2017","6","17"
32089,"9","2018","6","17"
38617,"7","2017","6","17"
32323,"5","2019","6","17"
6139,"7","2017","6","16"
11078,"1","2018","6","16"
34112,"10","2018","6","16"
21551,"9","2017","6","16"
27005,"4","2018","6","16"
26010,"7","2016","6","16"
9986,"10","2019","6","16"
17062,"1","2018","6","16"
39670,"12","2018","6","16"
9498,"7","2019","6","16"
8064,"12","2016","6","16"
24254,"7","2018","6","16"
24565,"5","2018","6","16"
65889,"11","2019","6","16"
61358,"11","2019","6","16"
42147,"1","2019","6","16"
69329,"12","2019","6","16"
55885,"7","2019","6","16"
50382,"5","2019","6","16"
67001,"11","2019","6","15"
60663,"9","2019","6","15"
45463,"3","2019","6","15"
49320,"12","2019","6","15"
54147,"6","2019","6","15"
62502,"10","2019","6","15"
69614,"12","2019","6","15"
63504,"10","2019","6","15"
59782,"9","2019","6","15"
25306,"8","2017","6","15"
37629,"11","2018","6","15"
23431,"6","2018","6","15"
26845,"6","2018","6","15"
25835,"11","2016","6","15"
33189,"9","2018","6","15"
7380,"10","2017","6","15"
10062,"3","2017","6","15"
8369,"5","2016","6","15"
6392,"2","2017","6","15"
18363,"7","2018","6","15"
8446,"2","2016","6","15"
6857,"4","2018","6","15"
19109,"2","2017","6","15"
24496,"5","2018","6","15"
20902,"5","2016","6","14"
19370,"8","2015","6","14"
8361,"5","2016","6","14"
33185,"9","2018","6","14"
24815,"2","2018","6","14"
1724,"7","2018","6","14"
27806,"7","2018","6","14"
22970,"4","2017","6","14"
41645,"1","2019","6","14"
27999,"3","2018","6","14"
26484,"3","2015","6","14"
15794,"2","2017","6","14"
45849,"10","2019","6","14"
61565,"9","2019","6","14"
59411,"9","2019","6","14"
68612,"12","2019","6","14"
57086,"7","2019","6","14"
67524,"11","2019","6","14"
48478,"4","2019","6","13"
68931,"12","2019","6","13"
54084,"6","2019","6","13"
43493,"2","2019","6","13"
46073,"9","2019","6","13"
60261,"9","2019","6","13"
61570,"9","2019","6","13"
55813,"7","2019","6","13"
53063,"6","2019","6","13"
10569,"9","2015","6","13"
1788,"12","2018","6","13"
12808,"5","2018","6","13"
37081,"11","2018","6","13"
25359,"7","2017","6","13"
24222,"8","2018","6","13"
11635,"8","2018","6","13"
10331,"7","2016","6","13"
31228,"8","2018","6","13"
9455,"12","2017","6","13"
41479,"1","2019","6","12"
33424,"9","2018","6","12"
34746,"5","2019","6","12"
24179,"8","2018","6","12"
25990,"7","2016","6","12"
24887,"1","2018","6","12"
26795,"7","2018","6","12"
3733,"10","2017","6","12"
24907,"1","2018","6","12"
18753,"2","2018","6","12"
42361,"1","2019","6","12"
64053,"10","2019","6","12"
48617,"4","2019","6","12"
63040,"10","2019","6","12"
59565,"9","2019","6","12"
44796,"2","2019","6","12"
66017,"11","2019","6","12"
58077,"8","2019","6","12"
65153,"11","2019","6","11"
69282,"12","2019","6","11"
62660,"10","2019","6","11"
55802,"7","2019","6","11"
57267,"8","2019","6","11"
50317,"5","2019","6","11"
62731,"11","2019","6","11"
43303,"2","2019","6","11"
38105,"12","2018","6","11"
21039,"7","2018","6","11"
40971,"1","2019","6","11"
34177,"10","2018","6","11"
2405,"6","2018","6","11"
6172,"7","2017","6","11"
24406,"6","2018","6","11"
9489,"12","2017","6","11"
18605,"5","2018","6","11"
2575,"9","2018","6","11"
21764,"11","2016","6","11"
28352,"3","2017","6","10"
19082,"3","2017","6","10"
10111,"2","2017","6","10"
30085,"10","2014","6","10"
25896,"10","2016","6","10"
7653,"7","2017","6","10"
36562,"11","2018","6","10"
38114,"12","2018","6","10"
37206,"7","2019","6","10"
35962,"1","2019","6","10"
17749,"5","2017","6","10"
36385,"11","2018","6","10"
60868,"9","2019","6","10"
47054,"3","2019","6","10"
52280,"6","2019","6","10"
57497,"8","2019","6","10"
44230,"2","2019","6","10"
43440,"2","2019","6","10"
59438,"8","2019","6","10"
48060,"4","2019","6","10"
56138,"9","2019","6","10"
63813,"10","2019","6","10"
