"article","month","year","countries","authors"
41696,"1","2019","39","343"
7580,"8","2017","33","542"
35344,"10","2018","33","334"
61644,"10","2019","31","277"
10732,"4","2014","29","120"
42542,"1","2019","29","115"
8933,"6","2018","28","280"
9752,"8","2017","26","285"
9342,"2","2018","26","217"
9195,"4","2018","25","455"
58970,"8","2019","25","352"
3750,"10","2017","25","158"
44386,"2","2019","24","101"
9647,"10","2017","23","280"
51863,"5","2019","23","168"
31766,"4","2019","22","386"
7933,"2","2017","22","246"
58338,"8","2019","22","159"
31862,"7","2019","21","364"
10470,"2","2016","21","271"
34879,"10","2018","21","209"
9400,"1","2018","20","276"
9476,"12","2017","20","243"
66355,"11","2019","20","197"
9044,"5","2018","20","168"
37562,"4","2019","20","156"
64457,"10","2019","20","75"
44871,"2","2019","20","46"
9770,"8","2017","19","221"
8165,"9","2016","19","220"
9840,"7","2017","19","197"
18812,"1","2018","19","55"
46067,"3","2019","19","41"
62526,"10","2019","18","264"
56578,"7","2019","18","187"
10528,"11","2015","18","178"
2068,"7","2018","18","165"
44798,"2","2019","18","146"
55687,"7","2019","18","118"
9684,"9","2017","18","117"
41748,"1","2019","18","115"
7786,"5","2017","18","103"
57430,"10","2019","18","90"
29164,"7","2018","18","67"
14544,"10","2017","17","280"
1844,"6","2018","17","110"
36904,"11","2018","17","95"
38766,"9","2016","17","95"
43161,"10","2019","17","75"
16828,"6","2018","17","74"
68319,"12","2019","17","56"
9403,"1","2018","17","50"
9818,"7","2017","16","217"
9224,"3","2018","16","136"
9731,"9","2017","16","117"
32675,"9","2018","16","116"
9790,"8","2017","16","108"
26437,"5","2015","16","96"
10357,"6","2016","16","52"
53781,"6","2019","16","41"
34992,"10","2018","15","102"
40213,"12","2018","15","91"
7706,"6","2017","15","87"
69184,"12","2019","15","79"
20868,"11","2016","15","76"
15149,"7","2017","15","73"
33313,"9","2018","15","68"
7255,"12","2017","15","59"
58957,"8","2019","15","59"
24480,"9","2019","15","45"
36536,"11","2018","15","34"
8848,"8","2018","14","377"
67606,"11","2019","14","149"
9411,"1","2018","14","125"
65640,"11","2019","14","118"
57245,"11","2019","14","113"
9556,"11","2017","14","112"
9817,"7","2017","14","107"
7182,"1","2018","14","107"
36881,"11","2018","14","98"
9354,"1","2019","14","93"
13050,"4","2018","14","88"
9722,"9","2017","14","87"
45281,"3","2019","14","86"
56007,"7","2019","14","85"
60293,"9","2019","14","82"
31515,"9","2018","14","76"
69364,"12","2019","14","74"
4252,"6","2017","14","67"
68231,"12","2019","14","60"
61659,"9","2019","14","46"
32310,"9","2018","14","44"
57399,"8","2019","14","31"
55374,"7","2019","13","149"
44750,"2","2019","13","149"
35100,"10","2018","13","114"
10548,"11","2015","13","104"
35779,"10","2018","13","97"
7215,"12","2017","13","73"
49394,"4","2019","13","65"
10207,"11","2016","13","64"
68549,"12","2019","13","63"
63929,"10","2019","13","62"
34877,"10","2018","13","61"
8205,"8","2016","13","60"
22935,"5","2017","13","59"
53814,"6","2019","13","59"
67658,"11","2019","13","57"
21534,"10","2017","13","53"
9210,"3","2018","13","50"
54664,"7","2019","13","50"
10500,"1","2016","13","47"
61561,"9","2019","13","46"
2007,"5","2018","13","43"
10177,"12","2016","13","42"
