country,uncorrected_total,unchanged,removed,added,precision,recall
AE,23,23,0,1,1,0.958333333
AF,2,2,0,0,1,1
AL,29,0,29,0,0,
AM,10,9,1,0,0.9,1
AR,430,430,0,0,1,1
AT,677,646,31,6,0.954209749,0.990797546
AU,3177,3145,32,66,0.989927605,0.979445656
AZ,75,74,1,0,0.986666667,1
BA,5,5,0,0,1,1
BB,20,20,0,0,1,1
BD,137,135,2,1,0.98540146,0.992647059
BE,1021,1016,5,6,0.99510284,0.994129159
BF,33,33,0,0,1,1
BG,74,44,30,0,0.594594595,1
BH,1,1,0,0,1,1
BI,11,11,0,0,1,1
BJ,24,24,0,0,1,1
BM,10,10,0,0,1,1
BN,6,6,0,0,1,1
BO,70,70,0,0,1,1
BR,2073,2070,3,38,0.998552822,0.981973435
BW,3,3,0,0,1,1
BY,23,9,14,0,0.391304348,1
BZ,38,1,37,0,0.026315789,1
CA,3754,3682,72,80,0.980820458,0.978734716
CD,13,12,1,0,0.923076923,1
CF,2,2,0,0,1,1
CH,2064,2057,7,7,0.996608527,0.996608527
CI,140,139,1,0,0.992857143,1
CL,341,341,0,0,1,1
CM,56,56,0,0,1,1
CN,5837,5588,249,243,0.9573411,0.958326188
CO,224,221,3,0,0.986607143,1
CR,43,43,0,0,1,1
CU,32,32,0,0,1,1
CV,2,2,0,0,1,1
CW,2,2,0,0,1,1
CY,45,35,10,0,0.777777778,1
CZ,716,323,393,4,0.451117318,0.987767584
DE,7984,7649,335,194,0.958041082,0.975264567
DK,1050,1047,3,17,0.997142857,0.984022556
DO,8,8,0,0,1,1
DZ,7,7,0,0,1,1
EC,89,89,0,0,1,1
EE,106,105,1,10,0.990566038,0.913043478
EG,160,154,6,0,0.9625,1
ES,2681,2537,144,4,0.946288698,0.998425817
ET,162,162,0,1,1,0.993865031
FI,910,910,0,49,1,0.948905109
FJ,10,10,0,0,1,1
FO,1,1,0,0,1,1
FR,6759,6382,377,16,0.944222518,0.997499219
GA,8,8,0,0,1,1
GB,10154,10103,51,166,0.994977349,0.983834843
GD,6,6,0,0,1,1
GE,11,11,0,0,1,1
GF,9,9,0,0,1,1
GH,75,75,0,0,1,1
GL,5,5,0,0,1,1
GM,8,8,0,1,1,0.888888889
GN,1,1,0,0,1,1
GP,4,4,0,0,1,1
GR,247,235,12,0,0.951417004,1
GT,14,14,0,0,1,1
GW,16,16,0,0,1,1
GY,3,3,0,0,1,1
HN,4,4,0,0,1,1
HR,116,79,37,0,0.681034483,1
HT,4,4,0,0,1,1
HU,493,359,134,13,0.728194726,0.965053763
ID,85,80,5,0,0.941176471,1
IE,401,401,0,1,1,0.997512438
IL,796,793,3,84,0.996231156,0.904218928
IN,1770,1489,281,25,0.841242938,0.98348745
IQ,22,22,0,0,1,1
IR,348,348,0,0,1,1
IS,78,78,0,0,1,1
IT,2252,2101,151,6,0.93294849,0.997152349
JE,1,1,0,0,1,1
JM,15,15,0,0,1,1
JO,11,11,0,0,1,1
JP,3221,3207,14,23,0.995653524,0.992879257
KE,216,163,53,2,0.75462963,0.987878788
KG,2,2,0,0,1,1
KH,13,13,0,0,1,1
KN,2,2,0,0,1,1
KP,1,1,0,0,1,1
KR,998,997,1,0,0.998997996,1
KW,23,23,0,0,1,1
KZ,16,15,1,0,0.9375,1
LA,9,9,0,0,1,1
LB,204,204,0,0,1,1
LI,1,1,0,0,1,1
LK,69,57,12,0,0.826086957,1
LR,1,1,0,0,1,1
LT,28,25,3,1,0.892857143,0.961538462
LU,63,63,0,1,1,0.984375
LV,13,13,0,0,1,1
LY,2,2,0,0,1,1
MA,21,21,0,0,1,1
MC,5,5,0,0,1,1
MD,6,2,4,0,0.333333333,1
ME,3,1,2,0,0.333333333,1
MG,20,20,0,0,1,1
MK,6,6,0,0,1,1
ML,10,10,0,0,1,1
MM,1,1,0,0,1,1
MN,5,4,1,0,0.8,1
MO,12,12,0,0,1,1
MQ,3,3,0,0,1,1
MR,1,1,0,0,1,1
MT,1,1,0,0,1,1
MU,6,1,5,0,0.166666667,1
MV,1,1,0,0,1,1
MW,43,35,8,0,0.813953488,1
MX,614,527,87,0,0.858306189,1
MY,189,188,1,0,0.994708995,1
MZ,9,9,0,0,1,1
NA,125,3,122,0,0.024,1
NC,3,3,0,0,1,1
NG,115,114,1,1,0.991304348,0.991304348
NI,4,4,0,0,1,1
NL,2432,2425,7,425,0.997121711,0.850877193
NO,774,774,0,11,1,0.985987261
NP,40,35,5,0,0.875,1
NZ,533,378,155,2,0.709193246,0.994736842
OM,13,13,0,0,1,1
PA,37,37,0,0,1,1
PE,66,66,0,0,1,1
PF,6,6,0,0,1,1
PG,8,8,0,0,1,1
PH,117,115,2,0,0.982905983,1
PK,157,154,3,0,0.98089172,1
PL,549,475,74,18,0.865209472,0.963488844
PS,12,12,0,0,1,1
PT,445,445,0,25,1,0.946808511
PY,1,1,0,0,1,1
QA,102,102,0,15,1,0.871794872
RE,12,12,0,0,1,1
RO,74,72,2,0,0.972972973,1
RS,34,34,0,0,1,1
RU,1093,564,529,3,0.516010979,0.994708995
RW,10,10,0,0,1,1
SA,225,225,0,0,1,1
SC,2,2,0,0,1,1
SD,115,115,0,8,1,0.93495935
SE,1566,1566,0,18,1,0.988636364
SG,581,552,29,2,0.950086059,0.996389892
SI,72,67,5,0,0.930555556,1
SK,133,62,71,0,0.466165414,1
SL,2,2,0,0,1,1
SN,28,28,0,0,1,1
SR,1,1,0,0,1,1
SS,1,1,0,0,1,1
SV,2,2,0,0,1,1
SY,5,5,0,0,1,1
SZ,1,1,0,0,1,1
TG,5,5,0,0,1,1
TH,286,274,12,0,0.958041958,1
TM,1,1,0,0,1,1
TN,20,20,0,0,1,1
TR,267,267,0,0,1,1
TT,15,15,0,0,1,1
TV,26,0,26,0,0,
TW,516,492,24,18,0.953488372,0.964705882
TZ,66,66,0,0,1,1
UA,82,34,48,0,0.414634146,1
UG,104,104,0,0,1,1
UNKNOWN,23157,20299,2858,3454,0.876581595,0.854586789
US,37642,37100,542,2127,0.98560119,0.945777143
UY,94,94,0,0,1,1
UZ,4,2,2,0,0.5,1
VE,91,91,0,0,1,1
VN,81,68,13,0,0.839506173,1
XK,5,5,0,0,1,1
YE,11,11,0,0,1,1
ZA,491,481,10,0,0.979633401,1
ZM,16,16,0,0,1,1
ZW,15,15,0,0,1,1
