"country","cn_total","whole_count"
"United States of America","24803.26048194983156525150","25305"
"UNKNOWN","9204.29278999589191707323","9077"
"United Kingdom of Great Britain and Northern Ireland","6510.89084362226155894885","6845"
"Germany","3321.72389069058782325659","3234"
"France","2604.36662652051360036057","2656"
"China","2633.74519719959087516684","2419"
"Canada","2232.47143729028755614627","2245"
"Australia","1628.67128423958663562815","1704"
"Switzerland","1227.40454972281986480692","1234"
"Netherlands","1212.17159518367167086270","1200"
"Japan","1265.07775863744739435789","1195"
"India","1070.59293038433333951838","1107"
"Spain","883.21074150642602930072","851"
"Sweden","763.55744919826518325108","745"
"Italy","708.54201855326028030878","667"
"Brazil","698.69858523340688240472","646"
"Israel","533.88102766046101866430","565"
"Denmark","532.43490415279041535851","556"
"Belgium","410.12470540131549089710","404"
"Norway","355.05227027986801184397","370"
"Finland","354.62369517823018781614","346"
"Korea, Republic of","346.05308791365070555703","329"
"Singapore","312.26940693652378278296","311"
"Austria","269.41776127492551429360","266"
"Russian Federation","268.36798548133388993588","241"
"Portugal","217.95709945544712065064","217"
"New Zealand","218.95350150305560094429","212"
"Taiwan, Province of China","189.19954482969725244527","193"
"South Africa","183.09309398803421459284","179"
"Poland","185.38133970206035879230","164"
"Ireland","161.01363676314089772891","164"
"Mexico","182.63425236422135671234","157"
"Argentina","155.24876063218207221739","151"
"Iran (Islamic Republic of),","137.79395773704362467388","116"
"Hungary","121.34858348556230796286","114"
"Chile","103.14889464839787211951","104"
"Czechia","118.97376527363186595302","96"
"Saudi Arabia","82.14694990366085895414","84"
"Malaysia","74.71568454042911196193","72"
"Turkey","89.32823581861483567522","71"
"Colombia","74.16588102059813814404","61"
"Ethiopia","63.19173419086260653082","57"
"Greece","67.85340031967009610250","54"
"Thailand","75.28502182658784404897","53"
"Philippines","50.39116780639933150349","51"
"Bangladesh","62.16954434418948485443","48"
"Pakistan","56.08533386415088171013","48"
"Estonia","53.37395322857725236654","48"
"Kenya","57.93466066885184532239","47"
"Qatar","49.59610136977235040631","44"
"Panama","34.55362187469360276758","42"
"Egypt","45.58957130201356669747","41"
"Côte d'Ivoire","39.53845641279306375638","38"
"Nigeria","42.08032704053829242183","37"
"Uruguay","37.73071088750356717232","33"
"Sudan","31.18243316181295720939","29"
"Venezuela (Bolivarian Republic of),","28.18967181248851379044","28"
"Iceland","25.63425708208496690956","28"
"Ghana","22.73978185238218467792","25"
"Luxembourg","28.72216536105289167586","24"
"Sri Lanka","23.31409996092658631346","22"
"Ecuador","25.94718559218559218555","20"
"Croatia","24.93647429425075412145","17"
"Bolivia (Plurinational State of),","18.11906932788490255913","17"
"Romania","20.42210260746794350679","16"
"Slovenia","19.64277191227894653006","16"
"Costa Rica","17.49834948163895532317","16"
"Indonesia","19.92879985243210662426","15"
"Nepal","11.86799676931255878624","15"
"Uganda","28.70825731668552904994","14"
"Bulgaria","12.86838594961369576163","14"
"Slovakia","18.99865908650332806970","13"
"Cameroon","12.20324413778323390953","13"
"Cyprus","11.94268575541020209961","13"
"Peru","17.48668529168250170480","12"
"Macao","7.96890928780180361819","12"
"Tanzania, United Republic of","19.48206625442515388498","11"
"Ukraine","14.59581686588265535630","11"
"Cuba","8.81956042323689382510","10"
"Viet Nam","20.48685754550709457181","8"
"Malawi","8.10791131222968667341","8"
"Benin","10.52366126305754788725","6"
"Greenland","7.72879488158899923605","6"
"Lithuania","6.94170113843173558359","6"
"Burkina Faso","8.39578373704648373126","5"
"Iraq","7.32131019595956482350","5"
"Kuwait","6.17932062113077975455","5"
"Morocco","5.93899331662489557222","5"
"Zimbabwe","4.10211027711027711027","5"
"United Arab Emirates","6.39803694496343287848","4"
"Tunisia","4.63483339180955864173","4"
"Armenia","4.30448717948717948718","4"
"Réunion","3.43294009911656970483","4"
"Guatemala","3.38523143523143523143","4"
"Serbia","6.97284118732883254683","3"
"Trinidad and Tobago","6.32412824948321905719","3"
"Lebanon","4.87310416191995139361","3"
"Latvia","4.46648688735198801449","3"
"Palestine, State of","3.91495400734531169311","3"
"Barbados","3.20725372588949938391","3"
"Brunei Darussalam","3.02747252747252747254","3"
"Oman","2.81191797718162195496","3"
"Zambia","2.77009200231816864677","3"
"Gambia","2.67839428996530861665","3"
"Mozambique","2.52818931839116868551","3"
"Guinea-Bissau","2.51594718845863010623","3"
"Gabon","2.34845095380809666525","3"
"Cambodia","3.98817238317238317245","2"
"Madagascar","3.70543451646392822864","2"
"Kazakhstan","3.23225806451612903224","2"
"Congo, Democratic Republic of the","2.34138431013431013433","2"
"Rwanda","2.28074229691876750700","2"
"Yemen","2.27133650663062427769","2"
"Monaco","2.23571428571428571427","2"
"North Macedonia","2.10695422328172447178","2"
"Guyana","2.02857142857142857137","2"
"Algeria","1.87424242424242424242","2"
"Nicaragua","1.56547619047619047620","2"
"Afghanistan","1.49999999999999999999","2"
"Bahrain","0.66666666666666666667","2"
"Senegal","6.93469428748066518961","1"
"Jordan","2.14138407234255376813","1"
"Jamaica","1.90719133807369101486","1"
"Bermuda","1.90588460786819199952","1"
"Lao People's Democratic Republic","1.26117306606437041220","1"
"Dominican Republic","1.21285731812047601520","1"
"Kyrgyzstan","1.03030303030303030302","1"
"Belize","0.99999999999999999999","1"
"Syrian Arab Republic","0.98565323565323565323","1"
"Botswana","0.97735597735597735597","1"
"Togo","0.88599529125844915317","1"
"Turkmenistan","0.75000000000000000000","1"
"Azerbaijan","0.72527472527472527474","1"
"Uzbekistan","0.59335576114381833473","1"
"Mauritania","0.50000000000000000000","1"
"Curaçao","0.40952380952380952381","1"
"Papua New Guinea","2.12303274428274428274","0"
"Mali","2.04798714357537886951","0"
"Belarus","1.98610613524406627853","0"
"Georgia","1.66080823767337397178","0"
"Fiji","1.52840909090909090908","0"
"French Polynesia","1.14069264069264069264","0"
"French Guiana","1.08109170522963626411","0"
"Burundi","0.96111842582430817722","0"
"Moldova, Republic of","0.78431372549019607842","0"
"New Caledonia","0.75681818181818181818","0"
"Grenada","0.63335142567665364016","0"
"Bosnia and Herzegovina","0.59445125770343923043","0"
"Martinique","0.58823529411764705880","0"
"Haiti","0.58815958815958815958","0"
"Honduras","0.54406288156288156288","0"
"Namibia","0.50793650793650793651","0"
"Eswatini","0.50000000000000000000","0"
"El Salvador","0.49999999999999999998","0"
"Cabo Verde","0.45833333333333333333","0"
"Korea (Democratic People's Republic of),","0.33333333333333333333","0"
"Guadeloupe","0.32521645021645021645","0"
"Seychelles","0.32275132275132275132","0"
"Libya","0.31709956709956709956","0"
"Mongolia","0.27626137303556658397","0"
"Suriname","0.25000000000000000000","0"
