country,intl_senior_author,intl_any_author,all_any_author,intl_senior_author_rate,intl_collab_rate,contributor
New Zealand,101,352,482,0.286931818,0.730290456,0
Cameroon,11,38,43,0.289473684,0.88372093,0
Chile,64,220,271,0.290909091,0.811808118,0
Portugal,113,388,514,0.291237113,0.754863813,0
Belgium,230,777,982,0.296010296,0.791242363,0
China,724,2441,4400,0.296599754,0.554772727,0
Denmark,341,1145,1386,0.297816594,0.826118326,0
Réunion,3,10,11,0.3,0.909090909,0
Netherlands,618,2056,2701,0.300583658,0.761199556,0
Norway,207,677,855,0.305760709,0.791812865,0
"Taiwan, Province of China",82,268,394,0.305970149,0.680203046,0
Argentina,71,227,323,0.31277533,0.702786378,0
Switzerland,623,1979,2656,0.314805457,0.745105422,0
Germany,1550,4848,6772,0.319719472,0.715888955,0
Singapore,174,539,694,0.322820037,0.776657061,0
Canada,914,2815,4294,0.324689165,0.655565906,0
Sri Lanka,14,42,52,0.333333333,0.807692308,0
Nicaragua,1,3,4,0.333333333,0.75,0
Panama,35,102,111,0.343137255,0.918918919,0
Guatemala,4,11,12,0.363636364,0.916666667,0
France,1304,3554,5065,0.366910523,0.701678184,0
Australia,847,2288,3213,0.370192308,0.712107065,0
Nepal,10,27,33,0.37037037,0.818181818,0
Macao,8,21,25,0.380952381,0.84,0
Israel,259,663,999,0.390648567,0.663663664,0
India,309,789,1656,0.391634981,0.476449275,0
Brunei Darussalam,2,5,6,0.4,0.833333333,0
United Kingdom of Great Britain and Northern Ireland,3345,7550,11335,0.443046358,0.666078518,0
United States of America,6428,13617,33968,0.472056988,0.400877296,0
Kyrgyzstan,1,2,2,0.5,1,0
Curaçao,1,2,3,0.5,0.666666667,0
Bahrain,2,3,3,0.666666667,1,0
Mauritania,1,1,1,1,1,0
Turkmenistan,1,1,1,1,1,0
Afghanistan,1,1,2,1,0.5,0
