country,cn_total,straight_count
United States of America,24803.26048,25305
UNKNOWN,9204.29279,9077
United Kingdom of Great Britain and Northern Ireland,6510.890844,6845
Germany,3321.723891,3234
China,2633.745197,2419
France,2604.366627,2656
Canada,2232.471437,2245
Australia,1628.671284,1704
Japan,1265.077759,1195
Switzerland,1227.40455,1234
Netherlands,1212.171595,1200
India,1070.59293,1107
Spain,883.2107415,851
Sweden,763.5574492,745
Italy,708.5420186,667
Brazil,698.6985852,646
Israel,533.8810277,565
Denmark,532.4349042,556
Belgium,410.1247054,404
Norway,355.0522703,370
Finland,354.6236952,346
"Korea, Republic of",346.0530879,329
Singapore,312.2694069,311
Austria,269.4177613,266
Russian Federation,268.3679855,241
New Zealand,218.9535015,212
Portugal,217.9570995,217
"Taiwan, Province of China",189.1995448,193
Poland,185.3813397,164
South Africa,183.093094,179
Mexico,182.6342524,157
Ireland,161.0136368,164
Argentina,155.2487606,151
"Iran (Islamic Republic of),",137.7939577,116
Hungary,121.3485835,114
Czechia,118.9737653,96
Chile,103.1488946,104
Turkey,89.32823582,71
Saudi Arabia,82.1469499,84
Thailand,75.28502183,53
Malaysia,74.71568454,72
Colombia,74.16588102,61
Greece,67.85340032,54
Ethiopia,63.19173419,57
Bangladesh,62.16954434,48
Kenya,57.93466067,47
Pakistan,56.08533386,48
Estonia,53.37395323,48
Philippines,50.39116781,51
Qatar,49.59610137,44
Egypt,45.5895713,41
Nigeria,42.08032704,37
Côte d'Ivoire,39.53845641,38
Uruguay,37.73071089,33
Panama,34.55362187,42
Sudan,31.18243316,29
Luxembourg,28.72216536,24
Uganda,28.70825732,14
"Venezuela (Bolivarian Republic of),",28.18967181,28
Ecuador,25.94718559,20
Iceland,25.63425708,28
Croatia,24.93647429,17
Sri Lanka,23.31409996,22
Ghana,22.73978185,25
Viet Nam,20.48685755,8
Romania,20.42210261,16
Indonesia,19.92879985,15
Slovenia,19.64277191,16
"Tanzania, United Republic of",19.48206625,11
Slovakia,18.99865909,13
"Bolivia (Plurinational State of),",18.11906933,17
Costa Rica,17.49834948,16
Peru,17.48668529,12
Ukraine,14.59581687,11
Bulgaria,12.86838595,14
Cameroon,12.20324414,13
Cyprus,11.94268576,13
Nepal,11.86799677,15
Benin,10.52366126,6
Cuba,8.819560423,10
Burkina Faso,8.395783737,5
Malawi,8.107911312,8
Macao,7.968909288,12
Greenland,7.728794882,6
Iraq,7.321310196,5
Serbia,6.972841187,3
Lithuania,6.941701138,6
Senegal,6.934694287,1
United Arab Emirates,6.398036945,4
Trinidad and Tobago,6.324128249,3
Kuwait,6.179320621,5
Morocco,5.938993317,5
Lebanon,4.873104162,3
Tunisia,4.634833392,4
Latvia,4.466486887,3
Armenia,4.304487179,4
Zimbabwe,4.102110277,5
Cambodia,3.988172383,2
"Palestine, State of",3.914954007,3
Madagascar,3.705434516,2
Réunion,3.432940099,4
Guatemala,3.385231435,4
Kazakhstan,3.232258065,2
Barbados,3.207253726,3
Brunei Darussalam,3.027472527,3
Oman,2.811917977,3
Zambia,2.770092002,3
Gambia,2.67839429,3
Mozambique,2.528189318,3
Guinea-Bissau,2.515947188,3
Gabon,2.348450954,3
"Congo, Democratic Republic of the",2.34138431,2
Rwanda,2.280742297,2
Yemen,2.271336507,2
Monaco,2.235714286,2
Jordan,2.141384072,1
Papua New Guinea,2.123032744,0
North Macedonia,2.106954223,2
Mali,2.047987144,0
Guyana,2.028571429,2
Belarus,1.986106135,0
Jamaica,1.907191338,1
Bermuda,1.905884608,1
Algeria,1.874242424,2
Georgia,1.660808238,0
Nicaragua,1.56547619,2
Fiji,1.528409091,0
Afghanistan,1.5,2
Lao People's Democratic Republic,1.261173066,1
Dominican Republic,1.212857318,1
French Polynesia,1.140692641,0
French Guiana,1.081091705,0
Kyrgyzstan,1.03030303,1
Belize,1,1
Syrian Arab Republic,0.985653236,1
Botswana,0.977355977,1
Burundi,0.961118426,0
Togo,0.885995291,1
"Moldova, Republic of",0.784313725,0
New Caledonia,0.756818182,0
Turkmenistan,0.75,1
Azerbaijan,0.725274725,1
Bahrain,0.666666667,2
Grenada,0.633351426,0
Bosnia and Herzegovina,0.594451258,0
Uzbekistan,0.593355761,1
Martinique,0.588235294,0
Haiti,0.588159588,0
Honduras,0.544062882,0
Namibia,0.507936508,0
Mauritania,0.5,1
Eswatini,0.5,0
El Salvador,0.5,0
Cabo Verde,0.458333333,0
Curaçao,0.40952381,1
"Korea (Democratic People's Republic of),",0.333333333,0
Guadeloupe,0.32521645,0
Seychelles,0.322751323,0
Libya,0.317099567,0
Mongolia,0.276261373,0
Suriname,0.25,0
South Sudan,0.25,0
Saint Kitts and Nevis,0.215909091,0
Malta,0.2,0
Jersey,0.19020979,0
Central African Republic,0.147619048,0
Maldives,0.133333333,0
Myanmar,0.083333333,0
Paraguay,0.0625,0
Faroe Islands,0.05,0
Sierra Leone,0.042105263,0
Montenegro,0.024390244,0
Mauritius,0.024390244,0
Liberia,0.021052632,0
Guinea,0.010526316,0
Liechtenstein,0.005347594,0
