country,journal,preprints,expected,p,padj,journaltotal,countrytotal
United States,PNAS,355,240.519349,1.56E-21,6.21E-20,607,9154
United Kingdom,International Journal of Epidemiology,15,2.158255,2.93E-19,1.07E-17,20,2493
United Kingdom,Translational Psychiatry,17,4.100684,4.50E-11,1.09E-09,38,2493
United States,eLife,513,413.677431,2.01E-10,4.51E-09,1044,9154
Germany,eLife,93,49.890745,3.17E-10,6.99E-09,1044,1104
United States,Cell,71,40.41676,5.65E-10,1.15E-08,102,9154
United States,Science,67,39.228032,1.05E-08,1.87E-07,99,9154
United States,Genetics,179,131.948836,9.17E-08,1.45E-06,333,9154
United Kingdom,Molecular Psychiatry,15,4.532335,3.58E-07,5.23E-06,42,2493
United States,mBio,91,61.417626,8.95E-07,1.27E-05,155,9154
United States,G3: Genes|Genomes|Genetics,132,96.286988,1.93E-06,2.55E-05,243,9154
United States,Plant Direct,28,14.264739,3.24E-06,4.15E-05,36,9154
United States,mSphere,47,28.133235,4.17E-06,5.29E-05,71,9154
United States,Cell Systems,49,29.718206,4.63E-06,5.77E-05,75,9154
United States,PLOS Genetics,201,158.4971,8.78E-06,1.01E-04,400,9154
United States,mSystems,34,19.415895,1.95E-05,2.15E-04,49,9154
United States,The American Journal of Human Genetics,37,21.793351,2.51E-05,2.72E-04,55,9154
United States,The Journal of Neuroscience,109,81.229764,4.93E-05,5.03E-04,205,9154
United States,Neuron,55,36.454333,5.99E-05,5.97E-04,92,9154
United Kingdom,PLOS Biology,35,18.992641,8.25E-05,7.92E-04,176,2493
Germany,NeuroImage,27,13.189507,8.64E-05,8.28E-04,276,1104
Italy,PLOS ONE,25,11.80071,1.02E-04,9.71E-04,1268,215
Brazil,Scientific Reports,18,7.500952,1.25E-04,1.18E-03,1163,149
United States,Genome Research,118,91.135832,1.90E-04,1.68E-03,230,9154
United States,Genetic Epidemiology,20,10.698554,2.67E-04,2.26E-03,27,9154
United Kingdom,NeuroImage,48,29.783915,2.94E-04,2.42E-03,276,2493
United States,Molecular Biology of the Cell,47,31.69942,3.58E-04,2.93E-03,80,9154
United Kingdom,Royal Society Open Science,17,7.769717,4.56E-04,3.65E-03,72,2493
United States,Nature Methods,79,59.04017,5.58E-04,4.13E-03,149,9154
United States,Journal of Biological Chemistry,46,31.303177,5.46E-04,4.13E-03,79,9154
Italy,Scientific Reports,22,10.823522,5.56E-04,4.13E-03,1163,215
Brazil,PLOS ONE,18,8.178166,5.37E-04,4.13E-03,1268,149
United Kingdom,Development,28,15.431521,5.72E-04,4.21E-03,143,2493
United States,Journal of Vision,20,11.094797,5.82E-04,4.28E-03,28,9154
United Kingdom,Human Molecular Genetics,16,7.338066,7.11E-04,5.14E-03,68,2493
Canada,NeuroImage,19,9.270886,1.02E-03,7.20E-03,276,776
United States,Molecular Cell,52,37.246818,1.33E-03,9.01E-03,94,9154
United States,Biochemistry,15,7.924855,1.32E-03,9.01E-03,20,9154
United States,The Plant Cell,23,13.868496,1.43E-03,9.32E-03,35,9154
China,Bioinformatics,24,12.951779,1.52E-03,9.85E-03,589,508
United Kingdom,Journal of Cell Science,18,9.172582,1.80E-03,1.14E-02,85,2493
Japan,PLOS ONE,31,18.551814,2.60E-03,1.58E-02,1268,338
China,Nucleic Acids Research,16,7.872219,2.99E-03,1.78E-02,358,508
United Kingdom,Genome Biology,39,25.467405,3.13E-03,1.85E-02,236,2493
United States,Nature,63,47.945373,3.41E-03,2.00E-02,121,9154
United States,Genetics in Medicine,17,9.906069,3.51E-03,2.05E-02,25,9154
United States,ACS Synthetic Biology,42,30.114449,3.79E-03,2.20E-02,76,9154
United States,Nature Neuroscience,46,33.680634,4.38E-03,2.49E-02,85,9154
United States,JCI Insight,15,8.71734,5.86E-03,3.11E-02,22,9154
United States,The ISME Journal,38,27.34075,6.20E-03,3.27E-02,69,9154
Canada,PLOS ONE,59,42.59233,6.58E-03,3.43E-02,1268,776
India,PLOS ONE,24,14.325513,7.39E-03,3.76E-02,1268,261
Germany,Bioinformatics,41,28.147173,8.51E-03,4.16E-02,589,1104
