contributor,senior,p,with,without,seniortotal,padj
Bangladesh,Australia,7.65E-14,22,61,847,2.60E-12
Thailand,United Kingdom of Great Britain and Northern Ireland,2.79E-06,50,137,3345,4.73E-05
Greece,United Kingdom of Great Britain and Northern Ireland,1.03E-04,39,114,3345,1.16E-03
Turkey,United States of America,1.87E-03,52,83,6428,1.21E-02
Kenya,United Kingdom of Great Britain and Northern Ireland,2.13E-03,26,79,3345,1.21E-02
Vietnam,United Kingdom of Great Britain and Northern Ireland,1.54E-03,19,48,3345,1.21E-02
Iceland,United Kingdom of Great Britain and Northern Ireland,8.23E-03,19,58,3345,4.00E-02
Turkey,Germany,1.36E-02,16,119,1550,5.78E-02
Ecuador,United States of America,2.62E-02,25,40,6428,9.88E-02
Uganda,United States of America,3.36E-02,29,50,6428,1.14E-01
Tanzania,United Kingdom of Great Britain and Northern Ireland,4.01E-02,15,52,3345,1.24E-01
Estonia,Australia,4.84E-02,10,145,847,1.37E-01
Thailand,United States of America,6.07E-02,60,127,6428,1.59E-01
Iceland,United States of America,6.73E-02,27,50,6428,1.64E-01
Czechia,Germany,7.99E-02,20,201,1550,1.81E-01
Estonia,United Kingdom of Great Britain and Northern Ireland,8.79E-02,28,127,3345,1.86E-01
Peru,United States of America,9.28E-02,19,34,6428,1.86E-01
Kenya,United States of America,1.18E-01,34,71,6428,2.23E-01
Uganda,United Kingdom of Great Britain and Northern Ireland,1.29E-01,15,64,3345,2.31E-01
Slovakia,United States of America,1.82E-01,17,34,6428,3.01E-01
Croatia,United Kingdom of Great Britain and Northern Ireland,1.86E-01,15,69,3345,3.01E-01
Colombia,United States of America,2.93E-01,43,105,6428,4.52E-01
Bangladesh,United States of America,3.69E-01,24,59,6428,5.45E-01
Tanzania,United States of America,5.40E-01,18,49,6428,7.64E-01
Egypt,United Kingdom of Great Britain and Northern Ireland,6.44E-01,10,67,3345,8.76E-01
Colombia,United Kingdom of Great Britain and Northern Ireland,6.85E-01,19,129,3345,8.96E-01
Czechia,United States of America,8.46E-01,53,168,6428,9.52E-01
Greece,United States of America,8.41E-01,36,117,6428,9.52E-01
Estonia,United States of America,9.52E-01,33,122,6428,9.52E-01
Czechia,United Kingdom of Great Britain and Northern Ireland,9.52E-01,23,198,3345,9.52E-01
Croatia,United States of America,8.93E-01,18,66,6428,9.52E-01
Egypt,United States of America,7.87E-01,18,59,6428,9.52E-01
Turkey,United Kingdom of Great Britain and Northern Ireland,9.48E-01,13,122,3345,9.52E-01
Czechia,France,7.70E-01,10,211,1308,9.52E-01
,,,,,,
